Year,Value,Units,Series,Observation status,Unit multiplier
2000,736.0925,Tonnes,Domestic material consumption,Normal value,Millions
2001,743.2284000000001,Tonnes,Domestic material consumption,Normal value,Millions
2002,721.9182,Tonnes,Domestic material consumption,Normal value,Millions
2003,722.968,Tonnes,Domestic material consumption,Normal value,Millions
2004,751.9122,Tonnes,Domestic material consumption,Normal value,Millions
2005,732.608,Tonnes,Domestic material consumption,Normal value,Millions
2006,724.2121,Tonnes,Domestic material consumption,Normal value,Millions
2007,718.9167,Tonnes,Domestic material consumption,Normal value,Millions
2008,674.9923,Tonnes,Domestic material consumption,Normal value,Millions
2009,591.5994000000001,Tonnes,Domestic material consumption,Normal value,Millions
2010,575.3452,Tonnes,Domestic material consumption,Normal value,Millions
2011,581.3488000000001,Tonnes,Domestic material consumption,Normal value,Millions
2012,555.3701,Tonnes,Domestic material consumption,Normal value,Millions
2013,562.9723,Tonnes,Domestic material consumption,Normal value,Millions
2014,586.39,Tonnes,Domestic material consumption,Normal value,Millions
2015,566.4305,Tonnes,Domestic material consumption,Normal value,Millions
2016,558.2432,Tonnes,Domestic material consumption,Normal value,Millions
2017,567.8934,Tonnes,Domestic material consumption,Normal value,Millions
2018,570.8358000000001,Tonnes,Domestic material consumption,Normal value,Millions
2019,577.3412,Tonnes,Domestic material consumption,Normal value,Millions
2020,509.5677,Tonnes,Domestic material consumption,Normal value,Millions
2021,544.1757,Tonnes,Domestic material consumption,Normal value,Millions
2000,12.500275956465108,Tonnes,Domestic material consumption per capita,Normal value,Units
2001,12.573011012805985,Tonnes,Domestic material consumption per capita,Normal value,Units
2002,12.16052703834032,Tonnes,Domestic material consumption per capita,Normal value,Units
2003,12.122878373038382,Tonnes,Domestic material consumption per capita,Normal value,Units
2004,12.542245781860473,Tonnes,Domestic material consumption per capita,Normal value,Units
2005,12.126606079100892,Tonnes,Domestic material consumption per capita,Normal value,Units
2006,11.906082862749242,Tonnes,Domestic material consumption per capita,Normal value,Units
2007,11.724193491177092,Tonnes,Domestic material consumption per capita,Normal value,Units
2008,10.91800577939502,Tonnes,Domestic material consumption per capita,Normal value,Units
2009,9.502004208576206,Tonnes,Domestic material consumption per capita,Normal value,Units
2010,9.167466333678863,Tonnes,Domestic material consumption per capita,Normal value,Units
2011,9.186181054021446,Tonnes,Domestic material consumption per capita,Normal value,Units
2012,8.71783750827839,Tonnes,Domestic material consumption per capita,Normal value,Units
2013,8.7819445691951,Tonnes,Domestic material consumption per capita,Normal value,Units
2014,9.07770099648354,Tonnes,Domestic material consumption per capita,Normal value,Units
2015,8.699588453601484,Tonnes,Domestic material consumption per capita,Normal value,Units
2016,8.503575749556871,Tonnes,Domestic material consumption per capita,Normal value,Units
2017,8.599203979138233,Tonnes,Domestic material consumption per capita,Normal value,Units
2018,8.592324440754988,Tonnes,Domestic material consumption per capita,Normal value,Units
2019,8.643245477287559,Tonnes,Domestic material consumption per capita,Normal value,Units
2020,7.596277969483984,Tonnes,Domestic material consumption per capita,Normal value,Units
2021,8.118839395143624,Tonnes,Domestic material consumption per capita,Normal value,Units
2000,209.24941209434533,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2001,210.5709746369956,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2002,205.44219962754732,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2003,204.53526882839745,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2004,213.36463009242192,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2005,208.58039008049724,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2006,207.8929635256017,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2007,205.90345087828484,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2008,200.06150843969783,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2009,187.13313878237847,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2010,180.22103633013944,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2011,184.0053649818105,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2012,175.83097348780626,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2013,178.85301512308538,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2014,182.82332258138536,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2015,173.70193293849152,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2016,170.7109790531052,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2017,172.55605790141084,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2018,173.50610520999916,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2019,176.36271645253956,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2020,185.3397594068018,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
2021,184.6309413003363,Tonnes per $m,Domestic material consumption per unit of GDP,Normal value,Units
