Year,Value,Observation status,Unit multiplier,Unit measure
2000,0.895854088466845,Undefined,Units,Index
2001,1.28082820268376,Undefined,Units,Index
2002,0.6740826795909489,Undefined,Units,Index
2003,0.7200599238616461,Undefined,Units,Index
2004,0.788058380364423,Undefined,Units,Index
2005,0.8117226145817041,Undefined,Units,Index
2006,0.8275797614149609,Undefined,Units,Index
2007,0.7841249934299209,Undefined,Units,Index
2008,0.583590061381042,Undefined,Units,Index
2009,0.5666350503918821,Undefined,Units,Index
2010,0.580325611177207,Undefined,Units,Index
2011,0.549304337747687,Undefined,Units,Index
2012,0.5073812981696989,Undefined,Units,Index
2013,0.5026515132458049,Undefined,Units,Index
2014,0.452907296367613,Undefined,Units,Index
2015,0.436081619356656,Undefined,Units,Index
