Year,Value,Units,Series,Observation status,Unit multiplier
2000,87.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2001,87.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2002,87.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2003,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2004,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2005,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2006,89.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2007,90.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2008,90.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2009,91.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2010,91.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2011,91.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2012,87.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2013,87.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2014,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2015,87.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2016,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2017,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2018,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2019,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2020,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Normal value,Units
2021,88.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Estimated value,Units
2022,89.0,Percentage (%),Proportion of local breeds classified as being at risk as a percentage of local breeds with known level of extinction risk,Estimated value,Units
