Year,Value,Series,Observation status,Unit multiplier,Unit measure
2001,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2002,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2003,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2004,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2005,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2006,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2007,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2008,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2009,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2010,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2011,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2012,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2013,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2014,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2015,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2016,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2017,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2018,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2019,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
2020,2.5,Prevalence of undernourishment,Estimated value,Units,Percentage (%)
