Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2009,3.753584576901632,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2010,3.0353991596103067,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2011,3.0970933226114914,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2012,2.8286620381467524,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2013,2.76106690994838,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2014,2.8701133456369448,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2015,2.7706942988234347,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2016,2.833290382072864,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2017,2.810408183169686,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2018,2.768096297840539,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2019,2.7067162057611527,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
2020,2.2599465000897268,Death rate due to road traffic injuries,,Normal value,Units,"Rate per 100,000 population"
