Year,Value,Units,Series,GeoCode,Observation status
2020,15.0,Percentage (%),Dwellings (%),,Normal value
2021,14.3,Percentage (%),Dwellings (%),,Normal value
2008,33.1,Percentage (%),Dwellings (%),,Normal value
2009,30.1,Percentage (%),Dwellings (%),,Normal value
2010,26.5,Percentage (%),Dwellings (%),,Normal value
2011,23.6,Percentage (%),Dwellings (%),,Normal value
2012,21.8,Percentage (%),Dwellings (%),,Normal value
2013,20.6,Percentage (%),Dwellings (%),,Normal value
2014,19.8,Percentage (%),Dwellings (%),,Normal value
2015,19.4,Percentage (%),Dwellings (%),,Normal value
2016,19.9,Percentage (%),Dwellings (%),,Normal value
2017,18.8,Percentage (%),Dwellings (%),,Normal value
2018,17.8,Percentage (%),Dwellings (%),,Normal value
2019,17.0,Percentage (%),Dwellings (%),,Normal value
2008,32.8,Percentage (%),Households (%),,Normal value
2009,29.6,Percentage (%),Households (%),,Normal value
2010,25.9,Percentage (%),Households (%),,Normal value
2011,23.2,Percentage (%),Households (%),,Normal value
2012,21.6,Percentage (%),Households (%),,Normal value
2013,20.1,Percentage (%),Households (%),,Normal value
2014,19.5,Percentage (%),Households (%),,Normal value
2015,19.1,Percentage (%),Households (%),,Normal value
2016,19.6,Percentage (%),Households (%),,Normal value
2017,18.5,Percentage (%),Households (%),,Normal value
2018,17.3,Percentage (%),Households (%),,Normal value
2019,16.6,Percentage (%),Households (%),,Normal value
2020,15.1,Percentage (%),Households (%),,Normal value
2021,14.4,Percentage (%),Households (%),,Normal value
