Year,Value,Units,Series,Observation status,Unit multiplier
1999,72.3913241949578,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2000,73.74687240391091,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2001,71.16657178220674,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2002,66.8751096786896,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2003,64.34497402945959,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2004,63.99396400271182,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2005,63.215295950627,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2006,64.41754444163527,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2007,64.56462685679337,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2008,60.86198585678212,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2009,52.676751691468695,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2010,55.16482277355352,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2011,58.553726316387376,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2012,57.47384476844779,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2013,61.11998014485466,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2014,61.69799051841248,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2015,63.47203803327912,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2016,66.05789672516093,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2017,66.37887402209294,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2018,65.57384256388868,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2019,65.5231092066515,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2020,51.372562038955735,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2021,59.077612017919904,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
