Year,Value,Units,Series,Observation status,Unit multiplier
2000,12.2606568191,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2001,11.766287854488752,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2002,11.232509382559094,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2003,10.836553107430126,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2004,10.790831043759889,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2005,10.49336037083168,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2006,10.46305515591935,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2007,10.27317512912457,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2008,10.016190316401865,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2009,9.546043654701291,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2010,9.78695652879253,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2011,9.8808866543716,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2012,9.627579323508945,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2013,9.320018236565344,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2014,9.317807910453366,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2015,9.058622472918316,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2016,8.929240498231698,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2017,8.98063438875694,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2018,8.971366033676473,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2019,8.710954178305217,Percentage (%),Manufacturing value added as a proportion of GDP,Normal value,Units
2000,3285.800893589489,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2001,3226.972070441358,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2002,3134.301456901881,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2003,3110.064775549284,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2004,3151.171635218447,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2005,3130.7013521856943,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2006,3183.942683442084,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2007,3174.280118266576,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2008,3061.054157136896,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2009,2777.7322700588657,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2010,2883.786518375704,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2011,2924.116419188719,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2012,2870.857860450514,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2013,2822.151540346646,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2014,2880.1891115349367,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2015,2843.6492090308707,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2016,2827.9417073761465,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2017,2876.5358069781737,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2018,2892.244519504603,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
2019,2828.324111334675,GBP per capita,Manufacturing value added as a proportion of GDP,Normal value,Units
