Year,Value,Series,Observation status,Unit multiplier,Unit measure
2020,0.5,By age 18,Undefined,Units,"Rate per 1,000 population"
2019,0.6,By age 18,Undefined,Units,"Rate per 1,000 population"
2018,0.7,By age 18,Undefined,Units,"Rate per 1,000 population"
2017,0.7,By age 18,Undefined,Units,"Rate per 1,000 population"
2016,0.8,By age 18,Undefined,Units,"Rate per 1,000 population"
2015,0.8,By age 18,Undefined,Units,"Rate per 1,000 population"
2014,0.8,By age 18,Undefined,Units,"Rate per 1,000 population"
2013,0.9,By age 18,Undefined,Units,"Rate per 1,000 population"
2012,1.1,By age 18,Undefined,Units,"Rate per 1,000 population"
2011,1.3,By age 18,Undefined,Units,"Rate per 1,000 population"
2010,1.6,By age 18,Undefined,Units,"Rate per 1,000 population"
2009,1.9,By age 18,Undefined,Units,"Rate per 1,000 population"
2008,2.3,By age 18,Undefined,Units,"Rate per 1,000 population"
2007,2.6,By age 18,Undefined,Units,"Rate per 1,000 population"
2006,2.9,By age 18,Undefined,Units,"Rate per 1,000 population"
2005,3.2,By age 18,Undefined,Units,"Rate per 1,000 population"
2004,3.6,By age 18,Undefined,Units,"Rate per 1,000 population"
2003,3.9,By age 18,Undefined,Units,"Rate per 1,000 population"
2002,4.3,By age 18,Undefined,Units,"Rate per 1,000 population"
2001,4.6,By age 18,Undefined,Units,"Rate per 1,000 population"
2000,4.9,By age 18,Undefined,Units,"Rate per 1,000 population"
2021,0.5,By age 18,Undefined,Units,"Rate per 1,000 population"
2020,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2019,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2018,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2017,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2016,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2015,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2014,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2013,0.3,By age 17,Undefined,Units,"Rate per 1,000 population"
2012,0.3,By age 17,Undefined,Units,"Rate per 1,000 population"
2011,0.4,By age 17,Undefined,Units,"Rate per 1,000 population"
2010,0.5,By age 17,Undefined,Units,"Rate per 1,000 population"
2009,0.6,By age 17,Undefined,Units,"Rate per 1,000 population"
2008,0.7,By age 17,Undefined,Units,"Rate per 1,000 population"
2007,0.8,By age 17,Undefined,Units,"Rate per 1,000 population"
2006,0.9,By age 17,Undefined,Units,"Rate per 1,000 population"
2005,0.9,By age 17,Undefined,Units,"Rate per 1,000 population"
2004,1.0,By age 17,Undefined,Units,"Rate per 1,000 population"
2003,1.1,By age 17,Undefined,Units,"Rate per 1,000 population"
2002,1.2,By age 17,Undefined,Units,"Rate per 1,000 population"
2001,1.3,By age 17,Undefined,Units,"Rate per 1,000 population"
2000,1.4,By age 17,Undefined,Units,"Rate per 1,000 population"
2021,0.2,By age 17,Undefined,Units,"Rate per 1,000 population"
