Year,Value,Observation status,Unit multiplier,Unit measure
2002/03,41.199414224781606,Normal value,Units,Percentage (%)
2003/04,39.39511277326287,Normal value,Units,Percentage (%)
2004/05,46.05412005081218,Normal value,Units,Percentage (%)
2005/06,44.6367977811729,Normal value,Units,Percentage (%)
2006/07,42.72968532509084,Normal value,Units,Percentage (%)
2007/08,42.44608333300187,Normal value,Units,Percentage (%)
2008/09,43.82221391137489,Normal value,Units,Percentage (%)
2009/10,46.205015707830015,Normal value,Units,Percentage (%)
2010/11,40.87926067942063,Normal value,Units,Percentage (%)
2011/12,42.42954393865437,Normal value,Units,Percentage (%)
2012/13,44.07574452427797,Normal value,Units,Percentage (%)
2013/14,52.43987337398034,Normal value,Units,Percentage (%)
2014/15,52.91097909245056,Normal value,Units,Percentage (%)
2015/16,52.68114974432744,Normal value,Units,Percentage (%)
2016/17,41.78909874258952,Normal value,Units,Percentage (%)
2017/18,38.12099539755057,Normal value,Units,Percentage (%)
2018/19,44.28668947857067,Normal value,Units,Percentage (%)
2019/20,49.48654820387205,Normal value,Units,Percentage (%)
2020/21,,Normal value,Units,Percentage (%)
2021/22,,Normal value,Units,Percentage (%)
2022/23,43.38051206313863,Normal value,Units,Percentage (%)
