Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2014,0.5486566810726426,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2015,0.353790551347486,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2016,0.1393703376094153,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2004,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2005,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2006,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2007,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2008,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2009,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2010,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2011,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2012,,Area (000s hectares),Woodland area net change,,Missing value,Thousands,Hectares
2013,3126.3099477740006,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2014,3143.4626561735013,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2015,3154.58393003618,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2016,3158.9804843096435,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
1990,74.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2000,89.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2010,104.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2015,109.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2016,110.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2017,112.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2018,113.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2019,114.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2020,115.0,Tonnes per hectare,Above-ground biomass stock,,Undefined,Units,Tonnes per hectare
2000,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2010,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2015,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2016,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2017,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2018,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2019,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2020,9.19,Percentage (%),Percentage of woodland within protected areas,,Undefined,Units,Percentage (%)
2000,33.76,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2010,52.87,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2015,57.34,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2016,57.27,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2017,59.3,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2018,59.94,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2019,60.51,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2020,61.05,Percentage (%),Percentage of woodland under long-term management plan,,Undefined,Units,Percentage (%)
2004,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2005,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2006,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2007,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2008,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2009,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2010,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2011,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2012,,Percentage (%),Woodland area under certification scheme,,Missing value,Units,Percentage (%)
2013,43.58,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2014,43.8,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2015,43.6,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2016,42.74,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2004,1159.94,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2005,1257.09,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2006,1272.51,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2007,1324.92,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2008,1309.68,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2009,1332.05,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2010,1347.26,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2011,1324.05,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2012,1365.56,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2013,1362.56,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2014,1376.97,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2015,1375.49,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2016,1350.01,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2017,3163.88,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2018,3174.58,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
