Year,Value,Series,Observation status,Unit multiplier,Unit measure
2015,102.010498046875,Primary education,Normal value,Units,Percentage (%)
2016,100.882553100586,Primary education,Normal value,Units,Percentage (%)
2017,100.122863769531,Primary education,Normal value,Units,Percentage (%)
2018,100.597457885742,Primary education,Normal value,Units,Percentage (%)
2019,101.594688415527,Primary education,Normal value,Units,Percentage (%)
2020,99.4334030151367,Primary education,Normal value,Units,Percentage (%)
2017,100.895210266113,Lower secondary education,Normal value,Units,Percentage (%)
2018,101.393989562988,Lower secondary education,Normal value,Units,Percentage (%)
2019,99.9539566040039,Lower secondary education,Normal value,Units,Percentage (%)
2020,99.1430816650391,Lower secondary education,Normal value,Units,Percentage (%)
2021/22,68.8,Upper secondary education,Normal value,Units,Percentage (%)
2020/21,72.2,Upper secondary education,Normal value,Units,Percentage (%)
2019/20,71.2,Upper secondary education,Normal value,Units,Percentage (%)
2018/19,64.6,Upper secondary education,Normal value,Units,Percentage (%)
2017/18,64.2,Upper secondary education,Normal value,Units,Percentage (%)
2016/17,63.9,Upper secondary education,Normal value,Units,Percentage (%)
2015/16,63.0,Upper secondary education,Normal value,Units,Percentage (%)
2014/15,59.2,Upper secondary education,Normal value,Units,Percentage (%)
2013/14,58.9,Upper secondary education,Normal value,Units,Percentage (%)
2012/13,61.3,Upper secondary education,Normal value,Units,Percentage (%)
2011/12,59.3,Upper secondary education,Normal value,Units,Percentage (%)
2010/11,58.7,Upper secondary education,Normal value,Units,Percentage (%)
