Year,Value,Observation status,Unit multiplier,Unit measure
2009,15.920183233202623,Normal value,Units,Percentage (%)
2010,15.298463565563164,Normal value,Units,Percentage (%)
2011,14.59929252465622,Normal value,Units,Percentage (%)
2012,13.160096690219412,Normal value,Units,Percentage (%)
2013,13.085327162997066,Normal value,Units,Percentage (%)
2014,14.263995602802042,Normal value,Units,Percentage (%)
2015,13.67280405601383,Normal value,Units,Percentage (%)
2016,10.90985975051096,Normal value,Units,Percentage (%)
2017,11.224858204348788,Normal value,Units,Percentage (%)
2018,11.217425972237324,Normal value,Units,Percentage (%)
2019,11.056704147019708,Normal value,Units,Percentage (%)
2020,14.322006187589606,Normal value,Units,Percentage (%)
2021,16.24917011388591,Normal value,Units,Percentage (%)
