Year,Value,Series,Observation status,Unit multiplier,Unit measure
2008,8.0,Number of Tables,Undefined,Units,Number of Tables
2009,9.0,Number of Tables,Undefined,Units,Number of Tables
2010,9.0,Number of Tables,Undefined,Units,Number of Tables
2011,10.0,Number of Tables,Undefined,Units,Number of Tables
2012,9.0,Number of Tables,Undefined,Units,Number of Tables
2013,9.0,Number of Tables,Undefined,Units,Number of Tables
2014,9.0,Number of Tables,Undefined,Units,Number of Tables
2015,9.0,Number of Tables,Undefined,Units,Number of Tables
2016,9.0,Number of Tables,Undefined,Units,Number of Tables
2017,9.0,Number of Tables,Undefined,Units,Number of Tables
2018,9.0,Number of Tables,Undefined,Units,Number of Tables
2019,9.0,Number of Tables,Undefined,Units,Number of Tables
