Year,Value,Units,Series,Observation status,Unit multiplier
2000,99.0,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2001,99.0,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2002,99.0,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2003,99.0,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2004,99.0,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2005,99.0,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2006,99.8,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2007,99.8,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2008,99.8,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2009,99.8,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2010,99.8,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2011,99.7,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2012,99.6,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2013,99.7,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2014,99.7,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2015,99.6,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2016,99.6,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2017,99.8,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2018,99.9,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2019,99.9,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2020,99.9,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2021,99.9,Percentage (%),Proportion of population covered by at least a 2G mobile network,Normal value,Units
2008,90.0,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2009,93.0,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2010,95.0,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2011,99.1,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2012,99.1,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2013,99.2,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2014,99.3,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2015,99.6,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2016,99.6,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2017,99.6,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2018,99.7,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2019,99.7,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2020,99.9,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2021,99.9,Percentage (%),Proportion of population covered by at least a 3G mobile network,Normal value,Units
2012,43.0,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2013,70.0,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2014,80.0,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2015,97.8,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2016,98.5,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2017,99.3,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2018,99.7,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2019,99.7,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2020,99.9,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
2021,99.9,Percentage (%),Proportion of population covered by at least a 4G mobile network,Normal value,Units
