Year,Value,Units,Series,Observation status,Unit multiplier
2013 Q1,7.96,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2013 Q2,7.69,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2013 Q3,8.4,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2013 Q4,8.38,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2014 Q1,7.86,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2014 Q2,7.8,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2014 Q3,7.56,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2014 Q4,7.55,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2015 Q1,7.49,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2015 Q2,7.2,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2015 Q3,7.41,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2015 Q4,7.25,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2016 Q1,7.29,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2016 Q2,7.25,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2016 Q3,7.35,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2016 Q4,7.43,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2017 Q1,7.86,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2017 Q2,7.55,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2017 Q3,7.01,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2017 Q4,7.29,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2018 Q1,7.11,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2018 Q2,6.96,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2018 Q3,7.08,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2018 Q4,6.89,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2019 Q1,6.97,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2019 Q2,7.01,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2019 Q3,7.28,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2019 Q4,7.23,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2020 Q1,7.42,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2020 Q2,6.74,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2020 Q3,6.57,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2020 Q4,6.48,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
2021 Q1,6.44,Percentage (%),Remittance costs as a proportion of the amount remitted,Normal value,Units
