Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2012,8302.9,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2013,8546.2,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2014,9369.7,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2015,9946.7,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2016,9877.9,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2017,9824.2,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2000,2893.16262,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2001,3079.38906,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2002,3338.94652,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2003,3636.94298,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2004,3823.53551,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2005,4123.61395,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2006,4177.58715,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2007,4113.85164,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2008,4058.42521,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2009,4083.44176,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2010,4053.03668,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2011,3939.04069,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2012,3986.84956,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2013,4141.30419,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2014,4254.10877,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2015,4350.08719,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
2016,4429.5838,Per million population,Researchers (in full-time equivalent) per million inhabitants,,Normal value,Units
