Year,Value,Units,Series,Observation status,Unit multiplier
1998,171.64284251484742,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
1999,166.2685860776967,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2000,147.04979457566316,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2001,137.06783893811365,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2002,144.9563428979526,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2003,153.20596251734543,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2004,165.88184135647057,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2005,162.74262752843424,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2006,153.2333912492513,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2007,169.72066129163613,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2008,185.9900941219153,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2009,243.2898411146656,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2010,264.98990206084824,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2011,261.6238957806307,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2012,278.21322126332416,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2013,283.7721214565525,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2014,306.72697293781295,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2015,317.2554250552962,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2016,305.34184043082456,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2017,282.3970365412972,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2018,275.78476401059555,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2019,273.4953276905442,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2020,361.1810255096581,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2021,367.5465088554817,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
2022,309.349782924901,Percentage (%),Debt service as a proportion of exports of goods and services,Normal value,Units
