Year,Value,Observation status,Unit multiplier,Unit measure
1987,0.183732115891,Undefined,Units,Percentage (%)
1988,0.1787028524388914,Undefined,Units,Percentage (%)
1989,0.1817475508876775,Undefined,Units,Percentage (%)
1990,0.1920155017812377,Undefined,Units,Percentage (%)
1991,0.182807324254822,Undefined,Units,Percentage (%)
1992,0.172366638583156,Undefined,Units,Percentage (%)
1993,0.1665828586573486,Undefined,Units,Percentage (%)
1994,0.1726342871561575,Undefined,Units,Percentage (%)
1995,0.1042904536554918,Undefined,Units,Percentage (%)
1996,0.1004301116631277,Undefined,Units,Percentage (%)
1997,0.1057597902136392,Undefined,Units,Percentage (%)
1998,0.0843543445275402,Undefined,Units,Percentage (%)
1999,0.3237628331916503,Undefined,Units,Percentage (%)
2000,0.3060874979014804,Undefined,Units,Percentage (%)
2001,0.3021252314894137,Undefined,Units,Percentage (%)
2002,0.2933677590563637,Undefined,Units,Percentage (%)
2003,0.2770828154345799,Undefined,Units,Percentage (%)
2004,0.245695737451197,Undefined,Units,Percentage (%)
2005,0.2381224132369318,Undefined,Units,Percentage (%)
2006,0.2249914989578498,Undefined,Units,Percentage (%)
2007,0.2114345213778558,Undefined,Units,Percentage (%)
2008,0.2051242982262723,Undefined,Units,Percentage (%)
2009,0.2174690176641658,Undefined,Units,Percentage (%)
2010,0.2000370116994317,Undefined,Units,Percentage (%)
2011,0.1917415933486598,Undefined,Units,Percentage (%)
2012,0.1828067062554775,Undefined,Units,Percentage (%)
2013,0.1724502142487592,Undefined,Units,Percentage (%)
2014,0.161093409218067,Undefined,Units,Percentage (%)
2015,0.1708464405674215,Undefined,Units,Percentage (%)
2016,0.1700743169936822,Undefined,Units,Percentage (%)
2017,0.1616097375309475,Undefined,Units,Percentage (%)
2018,0.1534532709471508,Undefined,Units,Percentage (%)
2019,0.1440478805174666,Undefined,Units,Percentage (%)
