Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2010,33.280405286439766,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2011,31.34103137283931,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2012,25.801656700305493,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2013,25.092673333260965,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2014,24.11164877513682,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2015,23.98198643465323,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2016,23.123305311917992,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2017,21.80821502664656,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2018,20.562568457882257,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2019,19.233267856425588,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2020,17.5793113491059,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
2021,16.0934477880575,"Number per 100,000 adults","(a) Number of commercial bank branches and building societies per 100,000 adults",,Normal value,Units
1998,52.8900697527343,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
1999,59.24176200983709,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2000,67.06215937638628,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2001,76.84675113375413,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2002,88.42381522021094,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2003,99.24538253218608,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2004,113.7977354758527,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2005,118.84373428077768,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2006,123.7976624509671,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2007,128.88345770748157,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2008,127.51470370252412,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2009,124.95475979080108,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2010,124.1866518232068,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2011,126.58586153742448,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2012,127.66261448216346,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2013,129.68454609304098,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2014,131.5662745897106,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2015,133.55743261927432,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2016,131.47331205363358,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2017,128.15945464481544,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2018,117.37296193401204,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2019,112.13152279735598,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2020,100.40537284836267,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
2021,97.59885576225945,"Number per 100,000 adults","(b) Number of automated teller machines (ATMs) per 100,000 adults",,Normal value,Units
