Year,Value,Units,Series,Observation status,Unit multiplier
2004/05,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2005/06,9.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2006/07,9.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2007/08,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2008/09,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2009/10,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2010/11,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2011/12,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2012/13,9.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2013/14,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2014/15,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2015/16,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2016/17,8.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2017/18,7.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2018/19,7.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2019/20,7.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
2020/21,6.0,Percentage (%),Proportion of population who are informal carers,Normal value,Units
