Year,Sex,Age,Nationality,Units,Unit multiplier,Observation status,Value
2009,,,,Percentage (%),Units,Undefined,15.9201832332026
2010,,,,Percentage (%),Units,Undefined,15.2984635655632
2011,,,,Percentage (%),Units,Undefined,14.5992925246562
2012,,,,Percentage (%),Units,Undefined,13.1600966902194
2013,,,,Percentage (%),Units,Undefined,13.0853271629971
2014,,,,Percentage (%),Units,Undefined,14.263995602802
2015,,,,Percentage (%),Units,Undefined,13.6728040560138
2016,,,,Percentage (%),Units,Undefined,10.909859750511
2017,,,,Percentage (%),Units,Undefined,11.2248582043488
2018,,,,Percentage (%),Units,Undefined,11.2174259722373
2019,,,,Percentage (%),Units,Undefined,11.0567041470197
2020,,,,Percentage (%),Units,Undefined,14.3220061875896
2021,,,,Percentage (%),Units,Undefined,16.2491701138859
2022,,,,Percentage (%),Units,Undefined,16.6243072688727
2023,,,,Percentage (%),Units,Undefined,18.0813269501811
2009,,15 to 17,,Percentage (%),Units,Undefined,24.2452830188679
2010,,15 to 17,,Percentage (%),Units,Undefined,28.4420289855072
2011,,15 to 17,,Percentage (%),Units,Undefined,27.1979759645794
2012,,15 to 17,,Percentage (%),Units,Undefined,22.2308892355694
2013,,15 to 17,,Percentage (%),Units,Undefined,21.2471131639723
2014,,15 to 17,,Percentage (%),Units,Undefined,25.2361673414305
2015,,15 to 17,,Percentage (%),Units,Undefined,22.6470588235294
2016,,15 to 17,,Percentage (%),Units,Undefined,23.3070866141732
2017,,15 to 17,,Percentage (%),Units,Undefined,27.5808936825886
2018,,15 to 17,,Percentage (%),Units,Undefined,30.8411214953271
2019,,15 to 17,,Percentage (%),Units,Undefined,29.7250859106529
2020,,15 to 17,,Percentage (%),Units,Undefined,40.3669724770642
2021,,15 to 17,,Percentage (%),Units,Undefined,48.2093663911846
2022,,15 to 17,,Percentage (%),Units,Undefined,47.1471471471471
2023,,15 to 17,,Percentage (%),Units,Undefined,43.2515337423313
2009,,18 to 20,,Percentage (%),Units,Undefined,22.7086183310534
2010,,18 to 20,,Percentage (%),Units,Undefined,21.9864770342737
2011,,18 to 20,,Percentage (%),Units,Undefined,21.5339977292797
2012,,18 to 20,,Percentage (%),Units,Undefined,20.1934703748489
2013,,18 to 20,,Percentage (%),Units,Undefined,20.1052295918367
2014,,18 to 20,,Percentage (%),Units,Undefined,22.2066304157165
2015,,18 to 20,,Percentage (%),Units,Undefined,23.4653465346535
2016,,18 to 20,,Percentage (%),Units,Undefined,19.0173283614828
2017,,18 to 20,,Percentage (%),Units,Undefined,21.1816192560175
2018,,18 to 20,,Percentage (%),Units,Undefined,22.4003772695119
2019,,18 to 20,,Percentage (%),Units,Undefined,23.1136580706781
2020,,18 to 20,,Percentage (%),Units,Undefined,28.5242290748899
2021,,18 to 20,,Percentage (%),Units,Undefined,33.2954545454545
2022,,18 to 20,,Percentage (%),Units,Undefined,35.6172839506173
2023,,18 to 20,,Percentage (%),Units,Undefined,38.1933919369506
2009,,21 to 24,,Percentage (%),Units,Undefined,17.3341002228773
2010,,21 to 24,,Percentage (%),Units,Undefined,16.0431553874177
2011,,21 to 24,,Percentage (%),Units,Undefined,14.8928596853421
2012,,21 to 24,,Percentage (%),Units,Undefined,14.0592645483756
2013,,21 to 24,,Percentage (%),Units,Undefined,13.9057869287163
2014,,21 to 24,,Percentage (%),Units,Undefined,17.189128517598
2015,,21 to 24,,Percentage (%),Units,Undefined,16.1738839098752
2016,,21 to 24,,Percentage (%),Units,Undefined,12.6854735299505
2017,,21 to 24,,Percentage (%),Units,Undefined,13.4513614933128
2018,,21 to 24,,Percentage (%),Units,Undefined,14.2070827707966
2019,,21 to 24,,Percentage (%),Units,Undefined,13.6280520598042
2020,,21 to 24,,Percentage (%),Units,Undefined,18.8080855018587
2021,,21 to 24,,Percentage (%),Units,Undefined,21.115347950429
2022,,21 to 24,,Percentage (%),Units,Undefined,21.4469335291957
2023,,21 to 24,,Percentage (%),Units,Undefined,23.9646403487527
2009,,25 to 29,,Percentage (%),Units,Undefined,15.6037991858887
2010,,25 to 29,,Percentage (%),Units,Undefined,15.5680224403927
2011,,25 to 29,,Percentage (%),Units,Undefined,14.6472145116519
2012,,25 to 29,,Percentage (%),Units,Undefined,13.354735152488
2013,,25 to 29,,Percentage (%),Units,Undefined,14.0695030854173
2014,,25 to 29,,Percentage (%),Units,Undefined,14.7806147744175
2015,,25 to 29,,Percentage (%),Units,Undefined,14.5263550472402
2016,,25 to 29,,Percentage (%),Units,Undefined,11.6729797979798
2017,,25 to 29,,Percentage (%),Units,Undefined,11.6337108850067
2018,,25 to 29,,Percentage (%),Units,Undefined,11.9219260065288
2019,,25 to 29,,Percentage (%),Units,Undefined,11.9417276520074
2020,,25 to 29,,Percentage (%),Units,Undefined,16.0648114509918
2021,,25 to 29,,Percentage (%),Units,Undefined,18.4579083574364
2022,,25 to 29,,Percentage (%),Units,Undefined,18.7633262260128
2023,,25 to 29,,Percentage (%),Units,Undefined,19.9519951995199
2009,,30 to 39,,Percentage (%),Units,Undefined,15.2218996267109
2010,,30 to 39,,Percentage (%),Units,Undefined,14.8514851485149
2011,,30 to 39,,Percentage (%),Units,Undefined,14.6657871591909
2012,,30 to 39,,Percentage (%),Units,Undefined,13.0305676855895
2013,,30 to 39,,Percentage (%),Units,Undefined,12.981761871989
2014,,30 to 39,,Percentage (%),Units,Undefined,14.3056524773203
2015,,30 to 39,,Percentage (%),Units,Undefined,13.7986041874377
2016,,30 to 39,,Percentage (%),Units,Undefined,10.8896740640756
2017,,30 to 39,,Percentage (%),Units,Undefined,11.2110913725187
2018,,30 to 39,,Percentage (%),Units,Undefined,11.1615962070328
2019,,30 to 39,,Percentage (%),Units,Undefined,11.0234997086813
2020,,30 to 39,,Percentage (%),Units,Undefined,14.1028174022998
2021,,30 to 39,,Percentage (%),Units,Undefined,16.4253698782278
2022,,30 to 39,,Percentage (%),Units,Undefined,16.7738032216592
2023,,30 to 39,,Percentage (%),Units,Undefined,18.3529659234329
2009,,40 to 49,,Percentage (%),Units,Undefined,13.8035482475119
