Year,Food security level,Age,Age group,Country,Region,Ethnic group,Ethnicity,Highest qualification,Household composition - children,Number of adults,Number of children,Household composition - adults over State Pension age,Household composition - disabled adults,Household composition - unemployed adults,State support,State support detail,Total gross weekly income,Tenure,Tenure sub-category,Observation status,Units,GeoCode,Value
2019/2020,Low,,,England,,,,,,,,,,,,,,,,Normal value,Percentage (%),E92000001,4.0
2019/2020,Low,,,Great Britain,,,,,,,,,,,,,,,,Normal value,Percentage (%),K03000001,4.0
2019/2020,Low,,,Northern Ireland,,,,,,,,,,,,,,,,Normal value,Percentage (%),N92000002,3.0
2019/2020,Low,,,Scotland,,,,,,,,,,,,,,,,Normal value,Percentage (%),S92000003,4.0
2019/2020,Low,,,Wales,,,,,,,,,,,,,,,,Normal value,Percentage (%),W92000004,4.0
2019/2020,Low,,,,,,,,,,,,,,,,,,,Normal value,Percentage (%),,4.0
2019/2020,Low,,,England,East,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000006,2.0
2019/2020,Low,,,England,East Midlands,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000004,4.0
2019/2020,Low,,,England,Inner London,,,,,,,,,,,,,,,Normal value,Percentage (%),E13000001,5.0
2019/2020,Low,,,England,London,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000007,5.0
2019/2020,Low,,,England,North East,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000001,4.0
2019/2020,Low,,,England,North West,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000002,5.0
2019/2020,Low,,,England,Outer London,,,,,,,,,,,,,,,Normal value,Percentage (%),E13000002,6.0
2019/2020,Low,,,England,South East,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000008,3.0
2019/2020,Low,,,England,South West,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000009,2.0
2019/2020,Low,,,England,West Midlands,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000005,4.0
2019/2020,Low,,,England,Yorkshire and The Humber,,,,,,,,,,,,,,,Normal value,Percentage (%),E12000003,4.0
2019/2020,Low,,,,,,,,Without children,,,,,,,,,,,Normal value,Percentage (%),,3.0
2019/2020,Low,,,,,,,,Without children,One adult,,,,,,,,,,Normal value,Percentage (%),,4.0
2019/2020,Low,,,,,,,,Without children,Two adults,,,,,,,,,,Normal value,Percentage (%),,2.0
2019/2020,Low,,,,,,,,Without children,Three or more adults,,,,,,,,,,Normal value,Percentage (%),,3.0
2019/2020,Low,,,,,,,,With children,,,,,,,,,,,Normal value,Percentage (%),,6.0
2019/2020,Low,,,,,,,,With children,One adult,,,,,,,,,,Normal value,Percentage (%),,16.0
