Year,Series,Educational measure,Education indicator,Observation status,Unit multiplier,Units,Value
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.76935
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.75754
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.61605
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.4726
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.32329
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.27796
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.5321
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.64953
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.69361
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.69274
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.72858
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.86959
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.95768
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.87429
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.65993
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.53862
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.65146
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents and youth of lower and upper secondary school age,Normal value,Units,Ratio,0.86253
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.82816
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.14347
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.65582
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.84309
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.91802
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,0.99075
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,1.00931
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,1.03363
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for adolescents of lower secondary school age,Normal value,Units,Ratio,1.07132
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.62364
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.24522
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.00681
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.50293
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.19069
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.73326
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.97086
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.09631
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.04921
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,0.93561
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.00121
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.12345
