Year,Series,Units,Unit multiplier,Observation status,Value
1987,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.18374007291163
1988,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.178693369511527
1989,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.181739447777793
1990,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.192007717061853
1991,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182812267897923
1992,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172358823902865
1993,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.166572004623257
1994,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172641316221581
1995,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.103928860100919
1996,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.0999813256263979
1997,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.105581220657545
1998,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.0841084490580229
1999,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.322419719305434
2000,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.304575081652019
2001,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.300564169639206
2002,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.293152971189023
2003,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.276586256542096
2004,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.245075596480706
2005,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.237548522653493
2006,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.225304630231108
2007,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.211973593518205
2008,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.204493435054292
2009,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.21687029374618
2010,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.198740055880487
2011,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.19123153781258
2012,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182708540165736
2013,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172432120626788
2014,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.161073686458442
2015,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.170481623894417
2016,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.169735607746406
2017,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.160570315946474
2018,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.152518468189591
2019,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.147522898823853
2020,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.120094771607375
2021,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.110813315075004
2022,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.126272246295371
