Year,Series,Units,Unit multiplier,Observation status,Value
1987,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.183732115891
1988,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1787028524388914
1989,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1817475508876775
1990,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1920155017812377
1991,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182807324254822
1992,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172366638583156
1993,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1665828586573486
1994,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1726342871561575
1995,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1042881229534184
1996,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1004278977540346
1997,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1058192401613821
1998,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.0842804998904818
1999,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.3238061156607522
2000,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.3060179516043935
2001,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.3024182335806089
2002,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.2940915011819482
2003,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.2773664740116789
2004,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.246193484950935
2005,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.2386755669407322
2006,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.2256346294685856
2007,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.2119454372536761
2008,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.2052110326908298
2009,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.217335602208964
2010,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1995263404915581
2011,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1917003608576693
2012,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182865549730446
2013,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1726219538697426
2014,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1610031350382333
2015,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1706021378674075
2016,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1701397134023538
2017,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1618370645375582
2018,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1536332485624466
2019,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.1488905767490628
2020,Volume of remittances as a proportion of total GDP,Percentage (%),Units,Estimated value,0.12213418461645
