Year,Series,Bank account category,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,16 to 24,Percentage (%),Units,Normal value,88.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,35 to 44,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,45 to 54,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,55 to 59,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,60 to 64,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,65 to 74,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,75 to 84,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),,85 and over,Percentage (%),Units,Normal value,89.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,16 to 24,Percentage (%),Units,Normal value,86.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,35 to 44,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,45 to 54,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,55 to 59,Percentage (%),Units,Normal value,93.0
