Year,Series,Observation status,Unit multiplier,Units,Value
2005,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),55.62
2005,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),5.83
2005,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),0.99
2005,Regulatory capital to assets (%),Normal value,Units,Percentage (%),4.22
2005,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),8.91
2005,Return on assets (%),Normal value,Units,Percentage (%),0.95
2008,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),42.32
2008,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),59.31
2008,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),8.65
2008,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),1.56
2008,Regulatory capital to assets (%),Normal value,Units,Percentage (%),3.28
2008,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),9.61
2008,Return on assets (%),Normal value,Units,Percentage (%),0.31
2009,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),38.04
2009,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),1.36
2009,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),14.8
2009,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),3.51
2009,Regulatory capital to assets (%),Normal value,Units,Percentage (%),4.22
2009,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),11.57
2009,Return on assets (%),Normal value,Units,Percentage (%),0.03
2010,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),37.9
2010,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),7.21
2010,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),16.86
2010,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),3.95
2010,Regulatory capital to assets (%),Normal value,Units,Percentage (%),4.47
2010,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),13.23
2010,Return on assets (%),Normal value,Units,Percentage (%),0.07
2011,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),40.89
2011,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),4.59
2011,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),16.11
2011,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),3.96
2011,Regulatory capital to assets (%),Normal value,Units,Percentage (%),4.32
2011,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),13.31
2011,Return on assets (%),Normal value,Units,Percentage (%),0.17
2012,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),36.81
2012,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-8.86
2012,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),13.87
2012,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),3.59
2012,Regulatory capital to assets (%),Normal value,Units,Percentage (%),4.68
2012,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),14.51
2012,Return on assets (%),Normal value,Units,Percentage (%),0.02
2013,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),35.69
2013,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-13.26
2013,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),9.48
2013,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),3.11
2013,Regulatory capital to assets (%),Normal value,Units,Percentage (%),5.2
2013,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),16.08
2013,Return on assets (%),Normal value,Units,Percentage (%),-0.02
2014,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),35.69
2014,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),8.3
2014,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),5.38
2014,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),1.65
2014,Regulatory capital to assets (%),Normal value,Units,Percentage (%),4.42
2014,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),13.63
2014,Return on assets (%),Normal value,Units,Percentage (%),0.07
2015,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),35.89
2015,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),3.06
2015,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),3.88
2015,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),1.01
2015,Regulatory capital to assets (%),Normal value,Units,Percentage (%),5.45
2015,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),15.69
2015,Return on assets (%),Normal value,Units,Percentage (%),0.07
2016,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),37.92
