Year,Value,Units,Series,Observation status,Unit multiplier
2019,10.9,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2018,10.5,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2017,10.2,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2016,9.9,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2015,9.7,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2014,9.5,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2013,9.3,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2012,9.2,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2011,9.1,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2010,9.0,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2009,8.9,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2008,8.9,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2007,8.8,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2006,8.8,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2005,8.8,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2004,8.8,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2003,8.8,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2002,8.9,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2001,9.0,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
2000,9.2,Percentage (%),"Proportion of women aged 15-49 years with anaemia, non-pregnant",Estimated value,Units
