Year,Value,Units,Series,Observation status,Unit multiplier
1990,976.646,Metric tons,Material footprint,Normal value,Millions
1991,964.3711,Metric tons,Material footprint,Normal value,Millions
1992,903.4407,Metric tons,Material footprint,Normal value,Millions
1993,845.5123000000001,Metric tons,Material footprint,Normal value,Millions
1994,848.782,Metric tons,Material footprint,Normal value,Millions
1995,793.4844,Metric tons,Material footprint,Normal value,Millions
1996,827.8578,Metric tons,Material footprint,Normal value,Millions
1997,901.7157,Metric tons,Material footprint,Normal value,Millions
1998,1056.0496,Metric tons,Material footprint,Normal value,Millions
1999,1044.3437,Metric tons,Material footprint,Normal value,Millions
2000,1065.8842,Metric tons,Material footprint,Normal value,Millions
2001,1096.1633,Metric tons,Material footprint,Normal value,Millions
2002,1254.2146,Metric tons,Material footprint,Normal value,Millions
2003,1307.01,Metric tons,Material footprint,Normal value,Millions
2004,1423.8945,Metric tons,Material footprint,Normal value,Millions
2005,1385.2822,Metric tons,Material footprint,Normal value,Millions
2006,1345.6896000000002,Metric tons,Material footprint,Normal value,Millions
2007,1317.1414,Metric tons,Material footprint,Normal value,Millions
2008,1179.9533,Metric tons,Material footprint,Normal value,Millions
2009,1019.0962,Metric tons,Material footprint,Normal value,Millions
2010,988.3921,Metric tons,Material footprint,Normal value,Millions
2011,1056.2035,Metric tons,Material footprint,Normal value,Millions
2012,1082.2306999999998,Metric tons,Material footprint,Normal value,Millions
2013,1022.119,Metric tons,Material footprint,Normal value,Millions
2014,1157.8499,Metric tons,Material footprint,Normal value,Millions
2015,1191.5993999999998,Metric tons,Material footprint,Normal value,Millions
2016,941.7642,Metric tons,Material footprint,Normal value,Millions
2017,920.8166,Metric tons,Material footprint,Normal value,Millions
2018,1064.3593999999998,Metric tons,Material footprint,Normal value,Millions
2019,1043.8019,Metric tons,Material footprint,Normal value,Millions
2020,926.1905,Metric tons,Material footprint,Normal value,Millions
1990,17.6,Metric tons,Material footprint per capita,Normal value,Units
1991,17.3,Metric tons,Material footprint per capita,Normal value,Units
1992,16.1,Metric tons,Material footprint per capita,Normal value,Units
1993,15.1,Metric tons,Material footprint per capita,Normal value,Units
1994,15.1,Metric tons,Material footprint per capita,Normal value,Units
1995,14.1,Metric tons,Material footprint per capita,Normal value,Units
1996,14.7,Metric tons,Material footprint per capita,Normal value,Units
1997,15.9,Metric tons,Material footprint per capita,Normal value,Units
1998,18.6,Metric tons,Material footprint per capita,Normal value,Units
