Year,Value,Units,Series,Observation status,Unit multiplier
2011,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2012,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2013,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2014,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2015,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2016,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2017,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2018,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2019,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
2020,100.0,Percentage (%),Proportion of children under 5 years of age whose births have been registered with a civil authority,Estimated value,Units
