Year,Value,Units,Observation status,Unit multiplier
2000,48.2,Percentage (%),Normal value,Units
2001,49.4,Percentage (%),Normal value,Units
2002,48.6,Percentage (%),Normal value,Units
2003,48.4,Percentage (%),Normal value,Units
2004,49.2,Percentage (%),Normal value,Units
2005,49.3,Percentage (%),Normal value,Units
2006,49.6,Percentage (%),Normal value,Units
2007,50.4,Percentage (%),Normal value,Units
2008,49.8,Percentage (%),Normal value,Units
2009,50.5,Percentage (%),Normal value,Units
2010,49.9,Percentage (%),Normal value,Units
2011,49.4,Percentage (%),Normal value,Units
2012,48.9,Percentage (%),Normal value,Units
2013,48.9,Percentage (%),Normal value,Units
2014,48.0,Percentage (%),Normal value,Units
2015,48.1,Percentage (%),Normal value,Units
2016,48.0,Percentage (%),Normal value,Units
2017,47.8,Percentage (%),Normal value,Units
2018,48.3,Percentage (%),Normal value,Units
2019,48.7,Percentage (%),Normal value,Units
2020,51.9,Percentage (%),Normal value,Units
2021,51.1,Percentage (%),Normal value,Units
2022,50.1,Percentage (%),Normal value,Units
