Year,Value,Units,Series,Observation status,Unit multiplier
2005,55.62,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2005,5.83,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2005,0.99,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2005,4.22,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2005,8.91,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2005,0.95,Percentage (%),Return on assets (%),Normal value,Units
2008,42.32,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2008,59.31,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2008,8.65,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2008,1.56,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2008,3.28,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2008,9.61,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2008,0.31,Percentage (%),Return on assets (%),Normal value,Units
2009,38.04,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2009,1.36,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2009,14.8,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2009,3.51,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2009,4.22,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2009,11.57,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2009,0.03,Percentage (%),Return on assets (%),Normal value,Units
2010,37.9,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2010,7.21,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2010,16.86,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2010,3.95,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2010,4.47,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2010,13.23,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2010,0.07,Percentage (%),Return on assets (%),Normal value,Units
2011,40.89,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2011,4.59,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2011,16.11,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2011,3.96,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2011,4.32,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2011,13.31,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2011,0.17,Percentage (%),Return on assets (%),Normal value,Units
2012,36.81,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2012,-8.86,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2012,13.87,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2012,3.59,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2012,4.68,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2012,14.51,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2012,0.02,Percentage (%),Return on assets (%),Normal value,Units
2013,35.69,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2013,-13.26,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2013,9.48,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2013,3.11,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2013,5.2,Percentage (%),Regulatory capital to assets (%),Normal value,Units
2013,16.08,Percentage (%),Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units
2013,-0.02,Percentage (%),Return on assets (%),Normal value,Units
2014,35.69,Percentage (%),Liquid assets to short term liabilities (%),Normal value,Units
2014,8.3,Percentage (%),Net open position in foreign exchange to capital (%),Normal value,Units
2014,5.38,Percentage (%),Non-performing loans net of provisions to capital (%),Normal value,Units
2014,1.65,Percentage (%),Non-performing loans to total gross loans (%),Normal value,Units
2014,4.42,Percentage (%),Regulatory capital to assets (%),Normal value,Units
