Year,Value,Units,Series,Observation status
2009,7300976.237,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2009,11746714.019,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2010,8528781.043,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2010,13535876.582,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2011,8628623.088,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2011,13416960.856,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2012,8801919.048,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2012,13469315.426,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2013,11406860.45,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2013,17073341.865,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2014,11700471.982,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2014,17238650.031,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2015,12135596.438,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2015,17788764.566,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2016,13377131.232,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2016,19242821.312,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2017,14051240.106,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2017,19851465.89,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2018,14542017.178,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2018,20142182.261,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2019,15175654.882,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2019,20604630.729,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2020,14477015.286,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2020,18567417.322,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2021,11422700.595,GBP (£ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
2021,14533434.249,Constant USD ($ thousands),Net Official Development Assistance (ODA) flows to developing countries,Definition differs
