Year,Value,Units,Series,Observation status,Unit multiplier,Unit measure
2009,181.1478,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2010,306.31455,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2011,104.43612,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2012,4.33889,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2013,4.03554,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2014,6.76673,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2015,25.72453,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2016,11.74538,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2017,13.8718121327,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2018,15.3133227968,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2019,32.6601069598,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
2020,16.2649267703,GBP (£ Millions),"Total official development assistance for biodiversity, by recipient countries",Normal value,Millions,GBP
1994,9.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
1995,19.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
1996,22.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
1997,22.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
1998,21.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
1999,23.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
2000,17.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
2001,15.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
2002,229.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
2003,357.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
2004,347.0,GBP (£ Millions),Tax revenue from biodiversity-relevant taxes,Estimated value,Millions,GBP
