Year,Value,Units,Series,Observation status,Unit multiplier
1999,72.42457377429936,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2000,73.77987606963707,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2001,71.200647502917,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2002,66.90267343500108,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2003,64.37203241759869,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2004,64.02371762028834,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2005,63.25407276231415,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2006,64.45802643600557,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2007,64.60305566026649,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2008,60.89625982930341,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2009,52.70831649345333,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2010,55.19424825674641,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2011,58.58644309050727,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2012,57.50488464147237,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2013,61.08684333264858,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2014,61.6503717359768,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2015,63.412393477538096,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2016,66.01101485179053,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2017,66.34184305170686,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2018,65.5641918089845,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2019,65.46194778364615,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2020,51.5144474641035,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2021,59.14341815519387,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
2022,63.51191025049946,Percentage (%),Proportion of domestic budget funded by domestic taxes,Normal value,Units
