Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2008,1.19654500332,,Undefined,Units,"Rate per 100,000 population"
2009,1.14184161542,,Undefined,Units,"Rate per 100,000 population"
2010,0.972599072703,,Undefined,Units,"Rate per 100,000 population"
2011,1.10907748855,,Undefined,Units,"Rate per 100,000 population"
2012,1.03563541065,,Undefined,Units,"Rate per 100,000 population"
2013,0.768576479588,,Undefined,Units,"Rate per 100,000 population"
2014,0.898435907773,,Undefined,Units,"Rate per 100,000 population"
2015,0.834149732286,,Undefined,Units,"Rate per 100,000 population"
2016,0.819641475791,,Undefined,Units,"Rate per 100,000 population"
2017,0.800080115888,,Undefined,Units,"Rate per 100,000 population"
