Year,Value,Units,Series,Observation status,Unit multiplier
1990,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1991,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1992,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1993,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1994,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1995,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1996,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1997,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1998,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
1999,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2000,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2001,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2002,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2003,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2004,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2005,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2006,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2007,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2008,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2009,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2010,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2011,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2012,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2013,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2014,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2015,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2016,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2017,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2018,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2019,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2020,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
2021,100.0,Percentage (%),Proportion of population with access to electricity,Normal value,Units
