Year,Value,Observation status,Unit multiplier,Unit measure
1990,39.797484240851134,Undefined,Units,Percentage (%)
1991,39.99975996303431,Undefined,Units,Percentage (%)
1992,39.976461828531626,Undefined,Units,Percentage (%)
1993,40.05443142823334,Undefined,Units,Percentage (%)
1994,40.84608084596786,Undefined,Units,Percentage (%)
1995,41.686780490517776,Undefined,Units,Percentage (%)
1996,42.41269175819024,Undefined,Units,Percentage (%)
1997,42.74694036975957,Undefined,Units,Percentage (%)
1998,43.25358385600718,Undefined,Units,Percentage (%)
1999,43.82468614958,Undefined,Units,Percentage (%)
2000,44.90157209036074,Undefined,Units,Percentage (%)
2001,45.356157828805536,Undefined,Units,Percentage (%)
2002,44.450749541350106,Undefined,Units,Percentage (%)
2003,44.736230536834775,Undefined,Units,Percentage (%)
2004,45.27851876803051,Undefined,Units,Percentage (%)
2005,45.42228107210497,Undefined,Units,Percentage (%)
2006,45.85152838427948,Undefined,Units,Percentage (%)
2007,46.06903896952985,Undefined,Units,Percentage (%)
2008,46.395729236177786,Undefined,Units,Percentage (%)
2009,45.203471117547906,Undefined,Units,Percentage (%)
2010,45.265978281231384,Undefined,Units,Percentage (%)
2011,44.932359352380324,Undefined,Units,Percentage (%)
2012,45.92755103185914,Undefined,Units,Percentage (%)
2013,45.634769780703,Undefined,Units,Percentage (%)
2014,45.03408414039578,Undefined,Units,Percentage (%)
2015,44.95015290857503,Undefined,Units,Percentage (%)
2016,45.22079681845472,Undefined,Units,Percentage (%)
2017,45.5314517258845,Undefined,Units,Percentage (%)
2018,46.304834461499006,Undefined,Units,Percentage (%)
2019,45.786647865936324,Undefined,Units,Percentage (%)
