Year,Value,Units,Observation status,Unit multiplier,Unit measure
2008,33.094906615700005,Dwelling (%),Undefined,Units,Percentage (%)
2009,30.09449243504444,Dwelling (%),Undefined,Units,Percentage (%)
2010,26.522,Dwelling (%),Undefined,Units,Percentage (%)
2011,23.574,Dwelling (%),Undefined,Units,Percentage (%)
2012,21.776999999999997,Dwelling (%),Undefined,Units,Percentage (%)
2013,20.579246876024033,Dwelling (%),Undefined,Units,Percentage (%)
2014,19.84143905825653,Dwelling (%),Undefined,Units,Percentage (%)
2015,19.40880308505087,Dwelling (%),Undefined,Units,Percentage (%)
2016,19.90698462265147,Dwelling (%),Undefined,Units,Percentage (%)
2017,18.823936290077146,Dwelling (%),Undefined,Units,Percentage (%)
2018,17.843255280763,Dwelling (%),Undefined,Units,Percentage (%)
2008,32.754784329203204,Household (%),Undefined,Units,Percentage (%)
2009,29.550325802884398,Household (%),Undefined,Units,Percentage (%)
2010,25.936,Household (%),Undefined,Units,Percentage (%)
2011,23.22,Household (%),Undefined,Units,Percentage (%)
2012,21.581999999999997,Household (%),Undefined,Units,Percentage (%)
2013,20.11276751342664,Household (%),Undefined,Units,Percentage (%)
2014,19.455196836875814,Household (%),Undefined,Units,Percentage (%)
2015,19.13861558796361,Household (%),Undefined,Units,Percentage (%)
2016,19.600639739672076,Household (%),Undefined,Units,Percentage (%)
2017,18.456511661882892,Household (%),Undefined,Units,Percentage (%)
