Year,Value,Series,GeoCode,Observation status,Unit multiplier
2004 to 2005,8.65073932621,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2005 to 2006,9.225465238632005,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2006 to 2007,8.697371257098943,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2008 to 2009,6.987348134078495,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2009 to 2010,7.364374097201099,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2010 to 2011,7.408327936314041,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2011 to 2012,6.883648949880264,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2012 to 2013,6.658768427674999,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2013 to 2014,6.793446766110581,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2014 to 2015,6.475845062340719,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2015 to 2016,6.230880299786246,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2016 to 2017,5.9466231116544055,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2017 to 2018,6.256980807506083,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2018 to 2019,6.375420398669647,Percentage of adults aged 16 to 59 (%),,Undefined,Units
2017 to 2018,6.938693743857272,Percentage of adults aged 16 to 74 (%),,Undefined,Units
2018 to 2019,7.4885088193731475,Percentage of adults aged 16 to 74 (%),,Undefined,Units
2019 to 2020,7.316400451564963,Percentage of adults aged 16 to 74 (%),,Undefined,Units
