Year,Value,Units,Series,Observation status,Unit multiplier
2000,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2001,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2002,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2003,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2004,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2005,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2006,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2007,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2008,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2009,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2010,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2011,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2012,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2013,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2014,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2015,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2016,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2017,0.2,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2018,0.5,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2019,0.5,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
2020,0.5,Percentage (%),Proportion of population below the international poverty line,Estimated value,Units
