Year,Value,Units,Series,Observation status,Unit multiplier
2009,15458.77,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2010,12554.15,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2011,8557.21,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2012,21928.49,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2013,16979.52,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2014,18372.0,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2015,70076.54,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2016,92909.42,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2017,94532.49935,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2018,95956.719305411,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2019,105578.83291,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
2020,78277.317945824,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value,Thousands
