Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
1992,0.697767145136,,Undefined,Units,Percentage (%)
1993,0.6029423587105073,,Undefined,Units,Percentage (%)
1994,0.5742542670282341,,Undefined,Units,Percentage (%)
1995,0.5241379310344828,,Undefined,Units,Percentage (%)
1996,0.4758004758004757,,Undefined,Units,Percentage (%)
1997,0.4446488807114383,,Undefined,Units,Percentage (%)
1998,0.3793338896897049,,Undefined,Units,Percentage (%)
1999,0.3781213732170267,,Undefined,Units,Percentage (%)
2000,0.4031959754383369,,Undefined,Units,Percentage (%)
2001,0.3593956285756198,,Undefined,Units,Percentage (%)
2002,0.3495484998543548,,Undefined,Units,Percentage (%)
2003,0.34296028880866425,,Undefined,Units,Percentage (%)
2004,0.34652757930837386,,Undefined,Units,Percentage (%)
2005,0.3395825963919349,,Undefined,Units,Percentage (%)
2006,0.3366767202076173,,Undefined,Units,Percentage (%)
2007,0.3514510404342682,,Undefined,Units,Percentage (%)
2008,0.3490702979194028,,Undefined,Units,Percentage (%)
2009,0.3096846846846847,,Undefined,Units,Percentage (%)
2010,0.3310791772330234,,Undefined,Units,Percentage (%)
2011,0.3614161900417559,,Undefined,Units,Percentage (%)
2012,0.3756521739130435,,Undefined,Units,Percentage (%)
2013,0.3792449577659024,,Undefined,Units,Percentage (%)
2014,0.3913630229419704,,Undefined,Units,Percentage (%)
2015,0.3388028964326048,,Undefined,Units,Percentage (%)
2016,0.38641647837050136,,Undefined,Units,Percentage (%)
2017,0.3756963337219847,,Undefined,Units,Percentage (%)
2018,0.3686251883193897,,Undefined,Units,Percentage (%)
