Year,Value,Observation status,Unit measure
2009,0.0383092219669738,Undefined,Percentage (%)
2010,0.0435036828265206,Undefined,Percentage (%)
2011,0.0579660850186043,Undefined,Percentage (%)
2012,0.0568899351230382,Undefined,Percentage (%)
2013,0.0732448191745466,Undefined,Percentage (%)
2014,0.0590772334328358,Undefined,Percentage (%)
2015,0.0508194278630209,Undefined,Percentage (%)
2016,0.059928189332689,Undefined,Percentage (%)
2017,0.0553934945829195,Undefined,Percentage (%)
2018,0.044091223608538,Undefined,Percentage (%)
2019,0.0448530032856082,Undefined,Percentage (%)
