Year,Value,Units,Series,Observation status
2009,273706.16,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2009,440372.34,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2010,324857.39,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2010,515575.381,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2011,490791.85,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2011,763150.154,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2012,557455.14,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2012,853057.052,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2013,817519.92,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2013,1223631.79,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2014,652950.02,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2014,962010.498,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2015,543329.19,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2015,796430.162,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2016,593232.27,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2016,853356.551,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2017,767594.93,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2017,1084451.227,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2018,779791.01,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2018,1080090.365,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2019,822182.74,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2019,1116312.402,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2020,1109632.55,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2020,1423153.2,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2021,626911.6,GBP (£ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
2021,797637.865,Constant USD ($ thousands),"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Normal value
