Year,Value,Units,Series,Observation status,Unit multiplier
2005,11.8,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2006,11.8,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2007,11.2,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2008,11.3,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2009,10.2,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2010,9.9,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2011,9.4,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2012,9.2,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2013,9.0,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2014,9.5,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2015,9.7,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2016,9.9,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2017,9.7,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
2018,11.3,Percentage (%),Percentage of people in households at risk of poverty (below 50% of median UK household income),Definition differs,Units
