Year,Value,Series,Observation status,Unit multiplier,Unit measure
1998,21.9737470571,Central government,Undefined,Units,Percentage (%)
1999,22.60173074425676,Central government,Undefined,Units,Percentage (%)
2000,23.5614379379021,Central government,Undefined,Units,Percentage (%)
2001,23.678022807684147,Central government,Undefined,Units,Percentage (%)
2002,23.458178567138194,Central government,Undefined,Units,Percentage (%)
2003,23.97720440837856,Central government,Undefined,Units,Percentage (%)
2004,25.582541740685095,Central government,Undefined,Units,Percentage (%)
2005,26.75769167820199,Central government,Undefined,Units,Percentage (%)
2006,27.55159539035618,Central government,Undefined,Units,Percentage (%)
2007,28.52848129659753,Central government,Undefined,Units,Percentage (%)
2008,30.07773363092324,Central government,Undefined,Units,Percentage (%)
2009,28.66561938364119,Central government,Undefined,Units,Percentage (%)
2010,29.977715253830343,Central government,Undefined,Units,Percentage (%)
2011,30.99931761316249,Central government,Undefined,Units,Percentage (%)
2012,31.640596622703622,Central government,Undefined,Units,Percentage (%)
2013,32.28897228711772,Central government,Undefined,Units,Percentage (%)
2014,32.089696878638776,Central government,Undefined,Units,Percentage (%)
2015,32.52502924543118,Central government,Undefined,Units,Percentage (%)
2016,33.6822481510144,Central government,Undefined,Units,Percentage (%)
2017,34.92419027880732,Central government,Undefined,Units,Percentage (%)
2018,35.66957015433805,Central government,Undefined,Units,Percentage (%)
2019,36.32722688170509,Central government,Undefined,Units,Percentage (%)
2020,38.48935280515432,Central government,Undefined,Units,Percentage (%)
1998,5.680730339933267,Local government,Undefined,Units,Percentage (%)
1999,5.878942349189526,Local government,Undefined,Units,Percentage (%)
2000,5.973559695359228,Local government,Undefined,Units,Percentage (%)
2001,6.407876102264484,Local government,Undefined,Units,Percentage (%)
2002,6.802710000597635,Local government,Undefined,Units,Percentage (%)
2003,7.228672806488119,Local government,Undefined,Units,Percentage (%)
2004,7.622994362222895,Local government,Undefined,Units,Percentage (%)
2005,7.968831053547007,Local government,Undefined,Units,Percentage (%)
2006,8.51090957320654,Local government,Undefined,Units,Percentage (%)
2007,8.579909451823578,Local government,Undefined,Units,Percentage (%)
2008,8.995549383111367,Local government,Undefined,Units,Percentage (%)
2009,9.808453185786387,Local government,Undefined,Units,Percentage (%)
2010,10.055173808582628,Local government,Undefined,Units,Percentage (%)
2011,9.618717689410405,Local government,Undefined,Units,Percentage (%)
2012,9.503976045811124,Local government,Undefined,Units,Percentage (%)
2013,9.154343676831576,Local government,Undefined,Units,Percentage (%)
2014,9.110368227973304,Local government,Undefined,Units,Percentage (%)
2015,8.818690068882715,Local government,Undefined,Units,Percentage (%)
2016,8.419215309605587,Local government,Undefined,Units,Percentage (%)
2017,8.356750071857556,Local government,Undefined,Units,Percentage (%)
2018,8.39759416413919,Local government,Undefined,Units,Percentage (%)
2019,8.325021139133474,Local government,Undefined,Units,Percentage (%)
2020,10.887163271964386,Local government,Undefined,Units,Percentage (%)
