Year,Value,Units,Series,Observation status,Unit multiplier
1918,0.1,Percentage (%),House of Commons,Normal value,Units
1922,0.3,Percentage (%),House of Commons,Normal value,Units
1923,1.3,Percentage (%),House of Commons,Normal value,Units
1924,0.7,Percentage (%),House of Commons,Normal value,Units
1929,2.3,Percentage (%),House of Commons,Normal value,Units
1931,2.4,Percentage (%),House of Commons,Normal value,Units
1935,1.5,Percentage (%),House of Commons,Normal value,Units
1945,3.8,Percentage (%),House of Commons,Normal value,Units
1950,3.4,Percentage (%),House of Commons,Normal value,Units
1951,2.7,Percentage (%),House of Commons,Normal value,Units
1955,3.8,Percentage (%),House of Commons,Normal value,Units
1959,4.0,Percentage (%),House of Commons,Normal value,Units
1964,4.6,Percentage (%),House of Commons,Normal value,Units
1966,4.1,Percentage (%),House of Commons,Normal value,Units
1970,4.1,Percentage (%),House of Commons,Normal value,Units
1974a,3.6,Percentage (%),House of Commons,Normal value,Units
1974b,4.3,Percentage (%),House of Commons,Normal value,Units
1979,3.0,Percentage (%),House of Commons,Normal value,Units
1983,3.5,Percentage (%),House of Commons,Normal value,Units
1987,6.3,Percentage (%),House of Commons,Normal value,Units
1992,9.2,Percentage (%),House of Commons,Normal value,Units
1997,18.2,Percentage (%),House of Commons,Normal value,Units
2001,17.9,Percentage (%),House of Commons,Normal value,Units
2005,19.8,Percentage (%),House of Commons,Normal value,Units
2010,22.0,Percentage (%),House of Commons,Normal value,Units
2015,29.4,Percentage (%),House of Commons,Normal value,Units
2017,31.8952234206,Percentage (%),House of Commons,Normal value,Units
2019,34.0,Percentage (%),House of Commons,Normal value,Units
1958,0.452488687783,Percentage (%),House of Lords,Normal value,Units
1959,0.555555555556,Percentage (%),House of Lords,Normal value,Units
1960,0.551876379691,Percentage (%),House of Lords,Normal value,Units
1961,0.653594771242,Percentage (%),House of Lords,Normal value,Units
1962,0.751879699248,Percentage (%),House of Lords,Normal value,Units
1963,0.758396533044,Percentage (%),House of Lords,Normal value,Units
1964,2.66666666667,Percentage (%),House of Lords,Normal value,Units
1965,3.03921568627,Percentage (%),House of Lords,Normal value,Units
1966,3.38164251208,Percentage (%),House of Lords,Normal value,Units
1967,3.52716873213,Percentage (%),House of Lords,Normal value,Units
1968,3.58152686145,Percentage (%),House of Lords,Normal value,Units
1969,3.47744360902,Percentage (%),House of Lords,Normal value,Units
1970,3.78927911275,Percentage (%),House of Lords,Normal value,Units
1971,4.07784986098,Percentage (%),House of Lords,Normal value,Units
1972,4.08921933086,Percentage (%),House of Lords,Normal value,Units
1973,4.27112349118,Percentage (%),House of Lords,Normal value,Units
1974,4.15913200723,Percentage (%),House of Lords,Normal value,Units
1975,4.6511627907,Percentage (%),House of Lords,Normal value,Units
1976,4.83729111697,Percentage (%),House of Lords,Normal value,Units
1977,4.82456140351,Percentage (%),House of Lords,Normal value,Units
1978,4.7619047619,Percentage (%),House of Lords,Normal value,Units
1979,5.204778157,Percentage (%),House of Lords,Normal value,Units
1980,5.04273504274,Percentage (%),House of Lords,Normal value,Units
1981,5.26762956669,Percentage (%),House of Lords,Normal value,Units
1982,5.27210884354,Percentage (%),House of Lords,Normal value,Units
1983,5.36013400335,Percentage (%),House of Lords,Normal value,Units
1985,5.45144804089,Percentage (%),House of Lords,Normal value,Units
1986,5.46541417592,Percentage (%),House of Lords,Normal value,Units
1987,5.65400843882,Percentage (%),House of Lords,Normal value,Units
1988,5.48523206751,Percentage (%),House of Lords,Normal value,Units
1989,5.49450549451,Percentage (%),House of Lords,Normal value,Units
1990,6.15514333895,Percentage (%),House of Lords,Normal value,Units
1991,6.6889632107,Percentage (%),House of Lords,Normal value,Units
1992,6.4381270903,Percentage (%),House of Lords,Normal value,Units
1993,6.54515327258,Percentage (%),House of Lords,Normal value,Units
1994,6.64451827243,Percentage (%),House of Lords,Normal value,Units
1995,6.63865546218,Percentage (%),House of Lords,Normal value,Units
1996,7.12510356255,Percentage (%),House of Lords,Normal value,Units
1997,7.14285714286,Percentage (%),House of Lords,Normal value,Units
1998,7.94140323824,Percentage (%),House of Lords,Normal value,Units
1999,8.90566037736,Percentage (%),House of Lords,Normal value,Units
2000,15.873015873,Percentage (%),House of Lords,Normal value,Units
2001,16.2002945508,Percentage (%),House of Lords,Normal value,Units
2002,16.2824207493,Percentage (%),House of Lords,Normal value,Units
2003,16.568914956,Percentage (%),House of Lords,Normal value,Units
2004,17.8217821782,Percentage (%),House of Lords,Normal value,Units
2005,17.7053824363,Percentage (%),House of Lords,Normal value,Units
2006,18.9081225033,Percentage (%),House of Lords,Normal value,Units
2007,19.5739014647,Percentage (%),House of Lords,Normal value,Units
2008,19.8924731183,Percentage (%),House of Lords,Normal value,Units
2009,20.1086956522,Percentage (%),House of Lords,Normal value,Units
2010,20.0,Percentage (%),House of Lords,Normal value,Units
2012,22.0048899756,Percentage (%),House of Lords,Normal value,Units
2013,22.2222222222,Percentage (%),House of Lords,Normal value,Units
2014,23.0492196879,Percentage (%),House of Lords,Normal value,Units
2015,23.7247924081,Percentage (%),House of Lords,Normal value,Units
2016,25.5621301775,Percentage (%),House of Lords,Normal value,Units
2017,26.1077844311,Percentage (%),House of Lords,Normal value,Units
2018,26.21951219512195,Percentage (%),House of Lords,Normal value,Units
2019,26.666666666666668,Percentage (%),House of Lords,Normal value,Units
2020,27.37361282367448,Percentage (%),House of Lords,Normal value,Units
2021,27.66217870257038,Percentage (%),House of Lords,Normal value,Units
2022,27.995110024449875,Percentage (%),House of Lords,Normal value,Units
