Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2004/05,2.3037422586292795,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2005/06,2.518203361812256,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2006/07,2.615723951008618,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2007/08,2.220040955473805,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2008/09,1.887869890969026,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2009/10,1.8663253703843976,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2010/11,1.9124697866567124,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2011/12,2.1201791277459545,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2012/13,1.568753275268881,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2013/14,1.2473063626980463,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2014/15,1.5052141786840456,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2015/16,1.715373385729858,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2016/17,1.738902155951773,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2017/18,2.50643217921014,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2017/18,2.0759912032468533,Percentage (%),Percentage of adults aged 16 to 74 (%),,Normal value,Units
2018/19,2.4742472714024086,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2018/19,2.045404403800798,Percentage (%),Percentage of adults aged 16 to 74 (%),,Normal value,Units
2019/20,1.940524433946042,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2019/20,1.6029147351808788,Percentage (%),Percentage of adults aged 16 to 74 (%),,Normal value,Units
2020/21,,Percentage (%),Percentage of adults aged 16 and over (%),,Missing value,Units
2020/21,,Percentage (%),Percentage of adults aged 16 to 59 (%),,Missing value,Units
2021/22,1.94232326137795,Percentage (%),Percentage of adults aged 16 and over (%),,Normal value,Units
2021/22,2.336485869927306,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
2022/23,1.88384189267844,Percentage (%),Percentage of adults aged 16 and over (%),,Normal value,Units
2022/23,2.50512338063819,Percentage (%),Percentage of adults aged 16 to 59 (%),,Normal value,Units
