Year,Value,Series,Observation status,Unit multiplier
1970,0.36,Official Development Assistance (ODA),Undefined,Units
1971,0.4,Official Development Assistance (ODA),Undefined,Units
1972,0.38,Official Development Assistance (ODA),Undefined,Units
1973,0.34,Official Development Assistance (ODA),Undefined,Units
1974,0.4,Official Development Assistance (ODA),Undefined,Units
1975,0.39,Official Development Assistance (ODA),Undefined,Units
1976,0.39,Official Development Assistance (ODA),Undefined,Units
1977,0.44,Official Development Assistance (ODA),Undefined,Units
1978,0.46,Official Development Assistance (ODA),Undefined,Units
1979,0.51,Official Development Assistance (ODA),Undefined,Units
1980,0.35,Official Development Assistance (ODA),Undefined,Units
1981,0.43,Official Development Assistance (ODA),Undefined,Units
1982,0.37,Official Development Assistance (ODA),Undefined,Units
1983,0.35,Official Development Assistance (ODA),Undefined,Units
1984,0.33,Official Development Assistance (ODA),Undefined,Units
1985,0.33,Official Development Assistance (ODA),Undefined,Units
1986,0.31,Official Development Assistance (ODA),Undefined,Units
1987,0.28,Official Development Assistance (ODA),Undefined,Units
1988,0.32,Official Development Assistance (ODA),Undefined,Units
1989,0.31,Official Development Assistance (ODA),Undefined,Units
1990,0.27,Official Development Assistance (ODA),Undefined,Units
1991,0.32,Official Development Assistance (ODA),Undefined,Units
1992,0.31,Official Development Assistance (ODA),Undefined,Units
1993,0.31,Official Development Assistance (ODA),Undefined,Units
1994,0.31,Official Development Assistance (ODA),Undefined,Units
1995,0.29,Official Development Assistance (ODA),Undefined,Units
1996,0.27,Official Development Assistance (ODA),Undefined,Units
1997,0.26,Official Development Assistance (ODA),Undefined,Units
1998,0.27,Official Development Assistance (ODA),Undefined,Units
1999,0.24,Official Development Assistance (ODA),Undefined,Units
2000,0.32,Official Development Assistance (ODA),Undefined,Units
2001,0.32,Official Development Assistance (ODA),Undefined,Units
2002,0.31,Official Development Assistance (ODA),Undefined,Units
2003,0.34,Official Development Assistance (ODA),Undefined,Units
2004,0.36,Official Development Assistance (ODA),Undefined,Units
2005,0.47,Official Development Assistance (ODA),Undefined,Units
2006,0.51,Official Development Assistance (ODA),Undefined,Units
2007,0.36,Official Development Assistance (ODA),Undefined,Units
2008,0.43,Official Development Assistance (ODA),Undefined,Units
2009,0.51,Official Development Assistance (ODA),Undefined,Units
2010,0.57,Official Development Assistance (ODA),Undefined,Units
2011,0.56,Official Development Assistance (ODA),Undefined,Units
2012,0.56,Official Development Assistance (ODA),Undefined,Units
2013,0.7,Official Development Assistance (ODA),Undefined,Units
2014,0.7,Official Development Assistance (ODA),Undefined,Units
2015,0.7,Official Development Assistance (ODA),Undefined,Units
2016,0.7,Official Development Assistance (ODA),Undefined,Units
2017,0.7,Official Development Assistance (ODA),Undefined,Units
2018,0.7,Official Development Assistance (ODA),Undefined,Units
2019,0.7,Official Development Assistance (ODA),Undefined,Units
2020,0.7,Official Development Assistance (ODA),Undefined,Units
2004,2.5698995645246256,Foreign Direct Investment (FDI) inflow,Undefined,Units
2005,7.722240890967128,Foreign Direct Investment (FDI) inflow,Undefined,Units
2006,6.445545639497357,Foreign Direct Investment (FDI) inflow,Undefined,Units
2007,6.380793584300873,Foreign Direct Investment (FDI) inflow,Undefined,Units
2008,3.394413039708577,Foreign Direct Investment (FDI) inflow,Undefined,Units
2009,4.046415796403732,Foreign Direct Investment (FDI) inflow,Undefined,Units
2010,2.551838235880939,Foreign Direct Investment (FDI) inflow,Undefined,Units
2011,1.7169953105600984,Foreign Direct Investment (FDI) inflow,Undefined,Units
2012,2.249699079861215,Foreign Direct Investment (FDI) inflow,Undefined,Units
2013,2.0377190455922487,Foreign Direct Investment (FDI) inflow,Undefined,Units
2014,0.8951044776119403,Foreign Direct Investment (FDI) inflow,Undefined,Units
2015,1.4689093715013355,Foreign Direct Investment (FDI) inflow,Undefined,Units
2016,10.046120239517316,Foreign Direct Investment (FDI) inflow,Undefined,Units
2017,3.722471931336787,Foreign Direct Investment (FDI) inflow,Undefined,Units
2018,3.149577681134192,Foreign Direct Investment (FDI) inflow,Undefined,Units
2019,1.6497161705454313,Foreign Direct Investment (FDI) inflow,Undefined,Units
