Year,Value,Units,Series,Observation status,Unit multiplier
2000/01,12.7358490566,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2001/02,13.333333333333334,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2002/03,13.309002433090026,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2003/04,13.619111408796607,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2004/05,13.548387096774192,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2005/06,13.63813989839781,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2006/07,13.660179640718564,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2007/08,13.88496824276641,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2008/09,13.471838987177406,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2009/10,13.56114005516396,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2010/11,13.58978167236002,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2011/12,12.805329385640263,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2012/13,12.3803915795672,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2013/14,12.2664735698769,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2014/15,12.101820250284412,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2015/16,11.826159632260762,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2016/17,11.702274293590628,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2017/18,11.498397435897436,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2018/19,11.42375518672199,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2019/20,11.344853493613822,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
2020/21,9.612883865159546,Percentage (%),"Proportion of total government spending on essential services, education",Normal value,Units
