Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2000 Q1,5.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q2,5.5,Seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q3,5.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q4,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q1,5.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q2,5.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q3,5.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q4,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q1,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q2,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q3,5.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q4,5.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q1,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q2,4.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q3,5.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q4,4.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q1,4.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q2,4.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q3,4.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q4,4.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q1,4.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q2,4.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q3,4.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q4,5.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q1,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q2,5.5,Seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q3,5.5,Seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q4,5.5,Seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q1,5.5,Seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q2,5.4,Seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q3,5.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q4,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q1,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q2,5.4,Seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q3,5.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q4,6.4,Seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q1,7.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q2,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q3,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q4,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q1,8.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q2,7.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q3,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q4,7.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q1,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q2,7.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q3,8.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q4,8.4,Seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q1,8.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q2,8.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q3,7.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q4,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q1,7.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q2,7.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q3,7.6,Seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q4,7.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q1,6.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q2,6.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q3,6.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q4,5.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q1,5.5,Seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q2,5.6,Seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q3,5.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q4,5.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q1,5.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q2,4.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q3,4.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q4,4.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q1,4.6,Seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q2,4.4,Seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q3,4.3,Seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q4,4.4,Seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q1,4.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q2,4.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q3,4.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q4,4.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q1,3.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q2,3.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q3,3.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q4,3.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q1,4.0,Seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q2,4.1,Seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q3,4.8,Seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q4,5.2,Seasonally adjusted,,Normal value,Units,Percentage (%)
2021 Q1,4.9,Seasonally adjusted,,Normal value,Units,Percentage (%)
2021 Q2,4.7,Seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q1,5.845343657237175,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q2,5.382752037032637,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q3,5.540001257658161,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2000 Q4,5.066315787193557,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q1,5.1378063623417685,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q2,4.8955517750585065,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q3,5.312915809756374,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2001 Q4,5.041604449441894,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q1,5.204975821981089,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q2,5.017781589715456,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q3,5.52203846709848,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2002 Q4,4.99503468736139,Not seasonally adjusted,,Normal value,Units,Percentage (%)
