Year,Value,Units,GeoCode,Observation status,Unit multiplier,Unit measure
2000,3.476202364,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2001,3.45778330799999,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2002,3.26788154,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2003,2.884131912,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2004,2.762285146,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2005,2.901680088,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2006,2.883584704,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2007,2.522869107,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2008,2.215976081,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2009,2.401201944,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2010,2.802764893,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2011,2.643590372,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2012,2.161524765,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2013,2.341447137,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2014,2.455231805,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2015,2.150206219,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2016,2.464657978,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2017,2.713497556,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2018,2.533282256261896,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2014,2.449039543,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2015,2.136383464,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2016,2.457041606,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2017,2.692298357,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2018,2.525756165185657,"Rate per 100,000 population",,Undefined,Units,"Rate per 100,000 population"
2000,2047.0,Number of cases,,Undefined,Units,Number
2001,2044.0,Number of cases,,Undefined,Units,Number
2002,1940.0,Number of cases,,Undefined,Units,Number
2003,1720.0,Number of cases,,Undefined,Units,Number
2004,1656.0,Number of cases,,Undefined,Units,Number
2005,1753.0,Number of cases,,Undefined,Units,Number
2006,1754.0,Number of cases,,Undefined,Units,Number
2007,1547.0,Number of cases,,Undefined,Units,Number
2008,1370.0,Number of cases,,Undefined,Units,Number
2009,1495.0,Number of cases,,Undefined,Units,Number
2010,1759.0,Number of cases,,Undefined,Units,Number
2011,1673.0,Number of cases,,Undefined,Units,Number
2012,1377.0,Number of cases,,Undefined,Units,Number
2013,1501.0,Number of cases,,Undefined,Units,Number
2014,1586.0,Number of cases,,Undefined,Units,Number
2015,1400.0,Number of cases,,Undefined,Units,Number
2016,1618.0,Number of cases,,Undefined,Units,Number
2017,1792.0,Number of cases,,Undefined,Units,Number
2018,1683.0,Number of cases,,Undefined,Units,Number
2014,1582.0,Number of cases,,Undefined,Units,Number
2015,1391.0,Number of cases,,Undefined,Units,Number
2016,1613.0,Number of cases,,Undefined,Units,Number
2017,1778.0,Number of cases,,Undefined,Units,Number
2018,1678.0,Number of cases,,Undefined,Units,Number
