Year,Value,Series,Observation status,Unit multiplier,Unit measure
2008,8.0,Number of tables reported,Normal value,Units,Number of tables
2009,9.0,Number of tables reported,Normal value,Units,Number of tables
2010,9.0,Number of tables reported,Normal value,Units,Number of tables
2011,10.0,Number of tables reported,Normal value,Units,Number of tables
2012,9.0,Number of tables reported,Normal value,Units,Number of tables
2013,9.0,Number of tables reported,Normal value,Units,Number of tables
2014,9.0,Number of tables reported,Normal value,Units,Number of tables
2015,9.0,Number of tables reported,Normal value,Units,Number of tables
2016,9.0,Number of tables reported,Normal value,Units,Number of tables
2017,9.0,Number of tables reported,Normal value,Units,Number of tables
2018,9.0,Number of tables reported,Normal value,Units,Number of tables
2019,9.0,Number of tables reported,Normal value,Units,Number of tables
