Year,Units,Decent homes criteria,Urbanisation sub-category,Sub-national area,Age of oldest person,Age of youngest person,Income group,Disability status,Ethnicity of household reference person (HRP),Unit measure,Observation status,Unit multiplier,Value
2008,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,28.4927843188
2009,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,25.76934396556189
2010,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,20.73
2011,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,17.862
2012,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,17.574
2013,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,17.53106556557113
2014,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,16.3456896370773
2015,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,16.36041117074502
2016,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,18.943112872751847
2017,Dwelling (%),Minimum Standard (HHSRS),city centre,,,,,,,Percentage (%),Undefined,Units,15.801044133017625
2008,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,54.11940672387375
2009,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,55.66526552203249
2010,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,49.472
2011,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,43.298
2012,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,37.569
2013,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,32.51329386682181
2014,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,32.4850955093972
2015,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,35.76409390804301
2016,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,40.99919277947957
2017,Dwelling (%),Minimum Standard (HHSRS),Other Rural Area,,,,,,,Percentage (%),Undefined,Units,38.70842658378191
2008,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,22.87285186618755
2009,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,20.93275084704423
2010,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,17.652
2011,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,17.471
2012,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,17.656
2013,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,15.9235713485418
2014,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,14.44155154926554
2015,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,13.75757829913541
2016,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,13.227303228160183
2017,Dwelling (%),Minimum Standard (HHSRS),other urban centre,,,,,,,Percentage (%),Undefined,Units,12.832587577154207
2008,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,25.58537793890231
2009,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,23.94717278516355
2010,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,18.63
2011,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,15.905
2012,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,14.315
2013,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,10.966882137302
2014,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,11.64970144482382
2015,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,15.1103462575817
2016,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,13.600733932437596
2017,Dwelling (%),Minimum Standard (HHSRS),rural residential,,,,,,,Percentage (%),Undefined,Units,12.062744735428964
2008,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,17.57616880814181
