Year,Series,Country,Region,Sex,Sector,Observation status,Unit multiplier,Units,GeoCode,Value
2012,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,8.7318763386
2013,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,10.366793383335
2014,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,8.38119372293248
2015,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,5.6962690488702
2016,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,9.65540954366209
2017,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,10.1701385664613
2018,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,8.67473347657575
2019,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,9.86143409814281
2020,Unpaid Family Workers as a proportion of all employees,,,Female,Agriculture,Undefined,Units,Percentage (%),,9.58749691767552
2012,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,1.68442108939656
2013,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,1.92703281265679
2014,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.37855616572225
2015,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.69278878989494
2016,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.96287523066872
2017,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.13098337672742
2018,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.17652689116179
2019,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.18216472032434
2020,Unpaid Family Workers as a proportion of all employees,,,Male,Agriculture,Undefined,Units,Percentage (%),,2.32924701498317
2012,Unpaid Family Workers as a proportion of all employees,,East,,Agriculture,Undefined,Units,Percentage (%),E12000006,4.04909130857842
2014,Unpaid Family Workers as a proportion of all employees,,East,,Agriculture,Undefined,Units,Percentage (%),E12000006,3.12491559756921
2015,Unpaid Family Workers as a proportion of all employees,,East,,Agriculture,Undefined,Units,Percentage (%),E12000006,3.45984158518022
2016,Unpaid Family Workers as a proportion of all employees,,East,,Agriculture,Undefined,Units,Percentage (%),E12000006,3.14272472468054
2020,Unpaid Family Workers as a proportion of all employees,,East,,Agriculture,Undefined,Units,Percentage (%),E12000006,3.66620366985891
2012,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000004,4.784618119334
2013,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000004,3.16003386960203
2016,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000004,3.40319389890765
2017,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000004,3.62662839478914
2018,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000004,3.89665653495441
2018,Unpaid Family Workers as a proportion of all employees,,London,,Agriculture,Undefined,Units,Percentage (%),E12000007,19.741576709192
2012,Unpaid Family Workers as a proportion of all employees,,North East,,Agriculture,Undefined,Units,Percentage (%),E12000001,3.47477064220183
2020,Unpaid Family Workers as a proportion of all employees,,North East,,Agriculture,Undefined,Units,Percentage (%),E12000001,13.8616485555261
2016,Unpaid Family Workers as a proportion of all employees,,North West,,Agriculture,Undefined,Units,Percentage (%),E12000002,2.72911906575273
2017,Unpaid Family Workers as a proportion of all employees,,North West,,Agriculture,Undefined,Units,Percentage (%),E12000002,7.78903077449973
2019,Unpaid Family Workers as a proportion of all employees,,North West,,Agriculture,Undefined,Units,Percentage (%),E12000002,3.96672852598091
2012,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,3.35452455025024
2013,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,3.3518849631066
2014,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,3.46914673752583
2015,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,3.54149770208164
2017,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,3.98260543111
2019,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,2.69943195850827
2020,Unpaid Family Workers as a proportion of all employees,,South East,,Agriculture,Undefined,Units,Percentage (%),E12000008,4.70327804227189
2012,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,1.8244674919148
2013,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,6.33005161536991
2014,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,6.4908890689605
2015,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,4.20962990241208
2016,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,6.44021387208377
2017,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,6.18761829270265
2018,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,3.88591563341422
2019,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,3.29747684726897
2020,Unpaid Family Workers as a proportion of all employees,,South West,,Agriculture,Undefined,Units,Percentage (%),E12000009,2.46507582758058
2012,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,1.22740595994138
2013,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,2.49805447470817
2014,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,5.05974427517794
2015,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,4.60911637382226
2016,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,4.0146116105003
2017,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,3.84258112459747
2018,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,6.8602781855036
2019,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,2.23519112926758
2020,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Agriculture,Undefined,Units,Percentage (%),E12000005,1.74640522875817
2012,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,3.52193995381062
2013,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,6.28775631753595
2014,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,2.21944884811279
2015,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,2.04804785280062
2016,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,5.12687312687313
2019,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,7.89035392088827
2020,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Agriculture,Undefined,Units,Percentage (%),E12000003,3.42077839699153
2012,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,2.94463784575628
2013,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,3.66755319148936
2014,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,3.51241974959642
2015,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,2.89444384307297
2016,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,3.92453671983301
2017,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,4.2918000472432
2018,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,3.59933382828019
2019,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,3.68051916643154
2020,Unpaid Family Workers as a proportion of all employees,England,,,Agriculture,Undefined,Units,Percentage (%),E92000001,2.89120785721031
2012,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,4.97461181838252
2013,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,5.2045101345766
2014,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,4.77243218584412
2015,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,6.25561677021061
2016,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,8.46107178968655
2018,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,5.20987758905502
2019,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,8.21906560472945
2020,Unpaid Family Workers as a proportion of all employees,Northern Ireland,,,Agriculture,Undefined,Units,Percentage (%),N92000002,7.75454545454545
2012,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,4.77149321266968
2013,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,6.33671137376209
2014,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,3.65452327802453
2015,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,2.98446961060019
2016,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,4.51453959697627
2017,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,4.16979714500376
2018,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,2.42367587040288
2019,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,2.78339818417639
2020,Unpaid Family Workers as a proportion of all employees,Scotland,,,Agriculture,Undefined,Units,Percentage (%),S92000003,3.60984457263773
2012,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,5.28815587718314
2013,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,3.973054217522
2014,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,7.40591262233882
2015,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,6.77902621722846
