From,To
Sex,Region
Sex,Age
Sex,Ethnicity
Sex,Relationship status
Sex,Employment status
Sex,Occupation
Sex,Highest qualification
Sex,Disability status
Sex,Hours out of home on an average weekday
Sex,Structure of household
Sex,Household income
Sex,Tenure
Sex,Accommodation type
Sex,Output area classification
Sex,Urbanisation
Sex,Level of physical disorder
Sex,Employment deprivation index
Abuse perpetrator,Abuse sub-category
Abuse category,Abuse sub-category
Ethnicity,Ethnic group
Accommodation type,House type
