Year,Series,Source of revenue,Units,Unit multiplier,Observation status,Value
1999,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,34.56840492266437
2000,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.41111372455712
2001,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.30113339206495
2002,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,34.31135990734485
2003,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,34.07370948855856
2004,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.24225113720512
2005,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.34362476717277
2006,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.3758515029158
2007,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.7082375895334
2008,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,37.42284777991606
2009,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.25442011699343
2010,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,42.01562781997556
2011,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.39388274683919
2012,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.64606497276215
2013,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.56822435779466
2014,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.71555490660163
2015,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,35.850323633861144
2016,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.29728211753068
2017,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.79218497003369
2018,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.73747688200203
2019,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.3363963065618
2020,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,36.74811361807059
2021,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,38.300122541786216
2022,Total government revenue as a proportion of GDP,,Percentage (%),Units,Normal value,39.75368872825479
1999,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0096729397117272
2000,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0104436935075644
2001,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0150175976558577
2002,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0189674490039991
2003,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0144481711552583
2004,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0153390458055643
2005,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0115743800383383
2006,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0130360657696676
2007,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0162376309361155
2008,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.013231021792308
2009,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0134030809043471
2010,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0138304780321772
2011,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,-0.0052277024968588
2012,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0100394515424274
2013,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0076867142158204
2014,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0080522775330183
2015,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0064549780895138
2016,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0148540031538499
2017,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0181773882881984
2018,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0068137257174111
2019,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0051377176381867
2020,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0035077839622221
2021,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0035678952853567
2022,Total government revenue as a proportion of GDP,Grants,Percentage (%),Units,Normal value,0.0031309734356974
1999,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.830388354163674
2000,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.859366131374399
2001,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.885850541724911
2002,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.68486338820745
2003,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.8465080278643295
2004,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.091036859047015
2005,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.141494652564976
2006,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.176854601018307
2007,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.124756758994742
2008,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.282415219562849
2009,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.234430195079265
2010,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.140174065558947
2011,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.182389132147305
2012,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.17607213462671
2013,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.043665025338103
2014,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,5.944942820777238
2015,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.027179622258847
2016,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.185416969873381
2017,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.332349803933606
