Indicator,Alias,Source,Year,Sex,Location,Age,Confidence Interval,Value
6.04 Ratio of school attendance of orphans to school attendance of non-orphans - Ratio,6.04 Ratio of school attendance of orphans to school attendance of non-orphans - Ratio,UNSD_MDG_2012 Country Data,2005,,Total,10-14 yr,,0.82
"6.06 Death rate associated with malaria - Per 100,000 population","6.06 Death rate associated with malaria - Per 100,000 population",UNSD_MDG_2012 Modeled,2008,,Total,<5 yr,,25
"6.06 Death rate associated with malaria - Per 100,000 population","6.06 Death rate associated with malaria - Per 100,000 population",UNSD_MDG_2012 Modeled,2008,,Total,,,40
6.02 Condom use at last high-risk sex - Percent,6.02 Condom use at last high-risk sex - Percent,UNSD_MDG_2012 Country Data,2005,Female,,15-24 yr,,26
6.02 Condom use at last high-risk sex - Percent,6.02 Condom use at last high-risk sex - Percent,UNSD_MDG_2012 Country Data,2005,Male,,15-24 yr,,39.5
Prevalence of underweight (severe) - Percent,Prevalence of underweight (severe) - Percent,UNSD_MDG_2012 Country Data,2010,,Total,<5 yr,,2.3
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1990,,Total,,,30.2
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1991,,Total,,,29.2
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1992,,Total,,,28.5
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1993,,Total,,,27.5
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1994,,Total,,,19.8
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1995,,Total,,,26.5
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1996,,Total,,,30.2
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1997,,Total,,,34.4
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1998,,Total,,,37.7
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,1999,,Total,,,30.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2000,,Total,,,30.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2001,,Total,,,30.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2002,,Total,,,30.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2003,,Total,,,30.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2004,,Total,,,27.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2005,,Total,,,12.3
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2006,,Total,,,12
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2007,,Total,,,4.1
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2008,,Total,,,1.2
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2009,,Total,,,0
Consumption of ozone-depleting CFCs - ODP metric tons,Consumption of ozone-depleting CFCs - ODP metric tons,UNSD_MDG_2012 Country Data,2010,,Total,,,0
Share of unemployed youth to youth population - Percent,Share of unemployed youth to youth population - Percent,UNSD_MDG_2012 Country Data,1996,,Total,15-24 yr,,0.6
