Year,Abuse type,Contact sexual abuse type,Sex,Unit measure,Unit multiplier,Observation status,Value
2018/19,,,,Percentage (%),Units,Undefined,6.30247812579
2018/19,Contact sexual abuse,,,Percentage (%),Units,Undefined,4.617022320776323
2018/19,Contact sexual abuse,Rape or assault by penetration (including attempts),,Percentage (%),Units,Undefined,1.8328155956850944
2018/19,Contact sexual abuse,Other contact sexual abuse,,Percentage (%),Units,Undefined,4.375564139283305
2018/19,Non-contact sexual abuse,,,Percentage (%),Units,Undefined,3.107224341089126
2018/19,,,Male,Percentage (%),Units,Undefined,2.210409438905072
2018/19,Contact sexual abuse,,Male,Percentage (%),Units,Undefined,1.3131114347655306
2018/19,Contact sexual abuse,Rape or assault by penetration (including attempts),Male,Percentage (%),Units,Undefined,0.2507808648457359
2018/19,Contact sexual abuse,Other contact sexual abuse,Male,Percentage (%),Units,Undefined,1.305596347512121
2018/19,Non-contact sexual abuse,,Male,Percentage (%),Units,Undefined,1.3385417323948092
2018/19,,,Female,Percentage (%),Units,Undefined,10.57523417743207
2018/19,Contact sexual abuse,,Female,Percentage (%),Units,Undefined,8.077487029236137
2018/19,Contact sexual abuse,Rape or assault by penetration (including attempts),Female,Percentage (%),Units,Undefined,3.490932905008316
2018/19,Contact sexual abuse,Other contact sexual abuse,Female,Percentage (%),Units,Undefined,7.599200623804081
2018/19,Non-contact sexual abuse,,Female,Percentage (%),Units,Undefined,4.950052030081393
