Year,Sex,Occupation minor group,Occupation unit group,Unit measure,Observation status,Unit multiplier,Value
2011,,Health professionals,,"Rate per 10,000 population",Undefined,Units,75.67305091899999
2011,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,38.1214264421769
2011,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,3.89096050897884
2011,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.845280436664869
2011,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.01618966030653
2011,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.32810661964984
2011,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,4.13303943603194
2011,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,1.8315514644076398
2011,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.197662974462639
2011,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,21.017096508193102
2011,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,7.254151033390219
2011,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,5.2306113859737495
2011,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,2.19277367540202
2011,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.339560413427191
2011,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,95.3512866250049
2011,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,89.7654575967235
2011,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,5.58582902828143
2011,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,21.055020099898602
2011,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,2.14268293135774
2011,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,4.6581231661869404
2011,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,5.08081319873723
2011,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,8.03837930686577
2011,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,74.0814487862097
2011,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,45.7416520214852
2011,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.71450628494299
