Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,13.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,14.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,16.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,17.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,18.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,19.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,20.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,23.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,23.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,25.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,England,,,,,Percentage (%),Units,Normal value,E92000001,25.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,15.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,17.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,18.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,19.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,19.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,20.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,22.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,23.6
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,24.2
