Year,Series,Units,Observation status,Unit multiplier,Value
1998,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,171.64284251484742
1999,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,166.2685860776967
2000,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,147.04979457566316
2001,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,137.06783893811365
2002,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,144.9563428979526
2003,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,153.20596251734543
2004,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,165.88184135647057
2005,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,162.74262752843424
2006,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,153.2333912492513
2007,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,169.72066129163613
2008,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,185.9900941219153
2009,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,243.2898411146656
2010,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,264.98990206084824
2011,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,261.6238957806307
2012,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,278.21322126332416
2013,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,283.7721214565525
2014,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,306.72697293781295
2015,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,317.2554250552962
2016,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,305.34184043082456
2017,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,282.3970365412972
2018,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,275.78476401059555
2019,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,273.4953276905442
2020,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,361.1810255096581
2021,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,367.5465088554817
2022,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,309.349782924901
